format,parameter,llm_cv,ref_cv,ratio,building_sensitive
F1,cooling_cop,0.01056965363495464,0.046735302889690564,0.22615994722238594,False
F1,cooling_setpoint_C,0.04081632653061226,0.031071296064769854,1.3136345019380056,True
F1,equipment_W_m2,0.5965851403554921,0.9039712304470944,0.6599603176092536,True
F1,heating_setpoint_C,0.03569997653236825,0.01901639200733045,1.877326493827357,True
F1,lighting_W_m2,0.6365636661821431,0.29345622576438135,2.1691946201654138,True
F1,occupancy_m2_person,0.43784091417989046,0.6198408588008938,0.7063763350917375,True
F1,outdoor_air,0.6899543939560115,1.1764192283722719,0.5864868384637445,True
F1,window_shgc,0.05499702136321985,0.011052002668908998,4.976204133386162,True
F1,window_u_value,0.25897643937268283,0.021116625796611787,12.26410137050571,True
F2,cooling_cop,0.09598435520934637,0.046735302889690564,2.053786950646248,True
F2,cooling_setpoint_C,0.005165201539499608,0.031071296064769854,0.16623708031787462,False
F2,equipment_W_m2,0.22219069870708802,0.9039712304470944,0.2457939934628173,False
F2,heating_setpoint_C,0.018165655914523647,0.01901639200733045,0.9552630124327023,True
F2,lighting_W_m2,0.08056018552984967,0.29345622576438135,0.2745219847355775,False
F2,occupancy_m2_person,0.5742338315083473,0.6198408588008938,0.9264213924509993,True
F2,outdoor_air,0.1161866140036836,1.1764192283722719,0.09876293348625627,False
F2,window_shgc,0.08235039552618796,0.011052002668908998,7.451174053536237,True
F2,window_u_value,0.1399740829180542,0.021116625796611787,6.6286197551747765,True
F3,cooling_cop,0.013655118751428138,0.046735302889690564,0.2921799562026664,False
F3,cooling_setpoint_C,0.00426783095763111,0.031071296064769854,0.13735606486239188,False
F3,equipment_W_m2,0.1353893595282815,0.9039712304470944,0.14977175707386106,False
F3,heating_setpoint_C,0.0028503635551324195,0.01901639200733045,0.1498898189537563,False
F3,lighting_W_m2,0.0777201970041068,0.29345622576438135,0.26484426016747403,False
F3,occupancy_m2_person,0.27262168385054864,0.6198408588008938,0.4398252873777083,False
F3,outdoor_air,0.1192717642221677,1.1764192283722719,0.10138542565918071,False
F3,window_shgc,0.005078977472978973,0.011052002668908998,0.4595526824533735,False
F3,window_u_value,0.009014338207350838,0.021116625796611787,0.4268834563899508,False
F4,cooling_cop,0.014350911629074353,0.046735302889690564,0.3070679067373724,False
F4,cooling_setpoint_C,0.0023140701573656944,0.031071296064769854,0.07447613876620678,False
F4,equipment_W_m2,0.34565653023505494,0.9039712304470944,0.38237558740016203,False
F4,heating_setpoint_C,0.0,0.01901639200733045,0.0,False
F4,lighting_W_m2,0.05300487358641914,0.29345622576438135,0.1806227605100368,False
F4,occupancy_m2_person,0.5088747578085896,0.6198408588008938,0.8209764661094262,True
F4,outdoor_air,0.0822312247843962,1.1764192283722719,0.06989959259521263,False
F4,window_shgc,0.005121412084768964,0.011052002668908998,0.4633922229476376,False
F4,window_u_value,0.016966436176162634,0.021116625796611787,0.8034634102804881,True
