,cvrmse_pct,nmbe_pct,type
F1,1033.282487984134,990.6389510595092,llm
F2,30.427221868981817,4.081819709869831,llm
F3,33.34135860261736,-18.737652841306804,llm
F4,27.305891580433432,-12.08617030491943,llm
global_constant,31.29035430792883,10.258844655956867,baseline
lobo_median_loo,32.95861394393053,8.20494271851412,baseline
uniform_random,82.70822305415496,54.998422455494854,baseline
