tag,building,climate,source,source_type,format,model,seed,energy_ratio,anomaly
RetailStripmall_5A_F4_llama-3.3-70b-versatile_seed1542799868,RetailStripmall,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,1.428979102307733,False
RetailStripmall_5A_F4_llama-3.3-70b-versatile_seed1542799869,RetailStripmall,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,1.1809613342627068,False
RetailStripmall_5A_F4_llama-3.3-70b-versatile_seed1542799870,RetailStripmall,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,1.1426014182992044,False
RetailStripmall_5A_F4_llama-3.3-70b-versatile_seed1542799871,RetailStripmall,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,1.267934348065768,False
RetailStripmall_5A_F4_gpt-oss-120b_seed1542799867,RetailStripmall,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,1.2820836881300095,False
RetailStripmall_5A_F4_gpt-oss-120b_seed1542799868,RetailStripmall,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,1.4147370122596246,False
RetailStripmall_5A_F4_gpt-oss-120b_seed1542799869,RetailStripmall,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,1.279847276534873,False
RetailStripmall_5A_F4_gpt-oss-120b_seed1542799870,RetailStripmall,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,1.2534244473371858,False
RetailStripmall_5A_F4_gpt-oss-120b_seed1542799871,RetailStripmall,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,1.2478630399599608,False
SchoolPrimary_5A_F1_gpt-oss-120b_seed1542799867,SchoolPrimary,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,11.203938321240402,True
SchoolPrimary_5A_F1_gpt-oss-120b_seed1542799868,SchoolPrimary,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,35.50019266720479,True
SchoolPrimary_5A_F1_gpt-oss-120b_seed1542799869,SchoolPrimary,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,0.7476765452649108,False
SchoolPrimary_5A_F1_gpt-oss-120b_seed1542799870,SchoolPrimary,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,0.7650605751058343,False
SchoolPrimary_5A_F1_gpt-oss-120b_seed1542799871,SchoolPrimary,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,1.3095120681253594,False
SchoolPrimary_5A_F2_llama-3.3-70b-versatile_seed1542799868,SchoolPrimary,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,0.9374987940186303,False
SchoolPrimary_5A_F2_llama-3.3-70b-versatile_seed1542799870,SchoolPrimary,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,0.8942580730938315,False
SchoolPrimary_5A_F2_llama-3.3-70b-versatile_seed1542799871,SchoolPrimary,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,0.9335476066598806,False
SchoolPrimary_5A_F2_gpt-oss-120b_seed1542799867,SchoolPrimary,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,0.985840141651514,False
SchoolPrimary_5A_F2_gpt-oss-120b_seed1542799868,SchoolPrimary,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,1.143012743821633,False
SchoolPrimary_5A_F2_gpt-oss-120b_seed1542799869,SchoolPrimary,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,1.2089624415983484,False
SchoolPrimary_5A_F2_gpt-oss-120b_seed1542799870,SchoolPrimary,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,1.0639086738755266,False
SchoolPrimary_5A_F2_gpt-oss-120b_seed1542799871,SchoolPrimary,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,1.6000710711330115,False
SchoolPrimary_5A_F3_llama-3.3-70b-versatile_seed1542799867,SchoolPrimary,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,0.7941812417534986,False
SchoolPrimary_5A_F3_llama-3.3-70b-versatile_seed1542799868,SchoolPrimary,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,0.8113152847486484,False
SchoolPrimary_5A_F3_llama-3.3-70b-versatile_seed1542799869,SchoolPrimary,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,0.8284991279529191,False
SchoolPrimary_5A_F3_llama-3.3-70b-versatile_seed1542799870,SchoolPrimary,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,0.7799572642258397,False
SchoolPrimary_5A_F3_llama-3.3-70b-versatile_seed1542799871,SchoolPrimary,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,0.8018185024680246,False
SchoolPrimary_5A_F3_gpt-oss-120b_seed1542799867,SchoolPrimary,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,1.1024241002481794,False
SchoolPrimary_5A_F3_gpt-oss-120b_seed1542799868,SchoolPrimary,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,1.1310004448110582,False
SchoolPrimary_5A_F3_gpt-oss-120b_seed1542799869,SchoolPrimary,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,1.0594722620820003,False
SchoolPrimary_5A_F3_gpt-oss-120b_seed1542799870,SchoolPrimary,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,1.1434003404963065,False
SchoolPrimary_5A_F3_gpt-oss-120b_seed1542799871,SchoolPrimary,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,1.0845298374740573,False
SchoolPrimary_5A_F4_llama-3.3-70b-versatile_seed1542799867,SchoolPrimary,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,0.8547237141508126,False
SchoolPrimary_5A_F4_llama-3.3-70b-versatile_seed1542799868,SchoolPrimary,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,0.8104758601209676,False
SchoolPrimary_5A_F4_llama-3.3-70b-versatile_seed1542799869,SchoolPrimary,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,0.8795907742605612,False
SchoolPrimary_5A_F4_llama-3.3-70b-versatile_seed1542799870,SchoolPrimary,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,0.8905301593699664,False
SchoolPrimary_5A_F4_llama-3.3-70b-versatile_seed1542799871,SchoolPrimary,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,0.8710042101565326,False
SchoolPrimary_5A_F4_gpt-oss-120b_seed1542799867,SchoolPrimary,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,0.96109460929927,False
SchoolPrimary_5A_F4_gpt-oss-120b_seed1542799868,SchoolPrimary,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,0.9539252998826745,False
SchoolPrimary_5A_F4_gpt-oss-120b_seed1542799869,SchoolPrimary,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,1.076081839424134,False
SchoolPrimary_5A_F4_gpt-oss-120b_seed1542799871,SchoolPrimary,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,0.8806667416351065,False
OfficeMedium_5A_lobo_median_loo,OfficeMedium,5A,lobo_median_loo,deterministic_baseline,,,,1.262266272088634,False
OfficeMedium_5A_global_constant,OfficeMedium,5A,global_constant,deterministic_baseline,,,,1.259013255199801,False
SchoolPrimary_5A_lobo_median_loo,SchoolPrimary,5A,lobo_median_loo,deterministic_baseline,,,,1.0383676576489316,False
SchoolPrimary_5A_global_constant,SchoolPrimary,5A,global_constant,deterministic_baseline,,,,1.0763527340383587,False
RetailStripmall_5A_lobo_median_loo,RetailStripmall,5A,lobo_median_loo,deterministic_baseline,,,,0.9024046933989895,False
RetailStripmall_5A_global_constant,RetailStripmall,5A,global_constant,deterministic_baseline,,,,0.9087559693632449,False
ApartmentMidRise_5A_lobo_median_loo,ApartmentMidRise,5A,lobo_median_loo,deterministic_baseline,,,,1.2346054189268167,False
ApartmentMidRise_5A_global_constant,ApartmentMidRise,5A,global_constant,deterministic_baseline,,,,1.2246963506710598,False
RestaurantFastFood_5A_lobo_median_loo,RestaurantFastFood,5A,lobo_median_loo,deterministic_baseline,,,,0.8698485796759807,False
RestaurantFastFood_5A_global_constant,RestaurantFastFood,5A,global_constant,deterministic_baseline,,,,0.8787647725325225,False
OfficeMedium_5A_uniform_random_0,OfficeMedium,5A,uniform_random_0,uniform_random,,,,1.8397236315991383,False
OfficeMedium_5A_uniform_random_1,OfficeMedium,5A,uniform_random_1,uniform_random,,,,1.4614416361922173,False
OfficeMedium_5A_uniform_random_2,OfficeMedium,5A,uniform_random_2,uniform_random,,,,1.1854255962578546,False
OfficeMedium_5A_uniform_random_3,OfficeMedium,5A,uniform_random_3,uniform_random,,,,1.1241907315965733,False
OfficeMedium_5A_uniform_random_4,OfficeMedium,5A,uniform_random_4,uniform_random,,,,2.20113954041251,True
SchoolPrimary_5A_uniform_random_0,SchoolPrimary,5A,uniform_random_0,uniform_random,,,,1.3214042623271622,False
SchoolPrimary_5A_uniform_random_1,SchoolPrimary,5A,uniform_random_1,uniform_random,,,,1.231637888495043,False
SchoolPrimary_5A_uniform_random_2,SchoolPrimary,5A,uniform_random_2,uniform_random,,,,1.1271700010705779,False
SchoolPrimary_5A_uniform_random_3,SchoolPrimary,5A,uniform_random_3,uniform_random,,,,1.3925359136541902,False
SchoolPrimary_5A_uniform_random_4,SchoolPrimary,5A,uniform_random_4,uniform_random,,,,0.9273700758202347,False
RetailStripmall_5A_uniform_random_0,RetailStripmall,5A,uniform_random_0,uniform_random,,,,1.2124627478417724,False
RetailStripmall_5A_uniform_random_1,RetailStripmall,5A,uniform_random_1,uniform_random,,,,1.7809820142965467,False
RetailStripmall_5A_uniform_random_2,RetailStripmall,5A,uniform_random_2,uniform_random,,,,0.7967909283784286,False
RetailStripmall_5A_uniform_random_3,RetailStripmall,5A,uniform_random_3,uniform_random,,,,1.8864238602760743,False
RetailStripmall_5A_uniform_random_4,RetailStripmall,5A,uniform_random_4,uniform_random,,,,1.8493252879086528,False
ApartmentMidRise_5A_uniform_random_0,ApartmentMidRise,5A,uniform_random_0,uniform_random,,,,2.043329222826957,True
ApartmentMidRise_5A_uniform_random_1,ApartmentMidRise,5A,uniform_random_1,uniform_random,,,,1.5441538411249525,False
ApartmentMidRise_5A_uniform_random_2,ApartmentMidRise,5A,uniform_random_2,uniform_random,,,,1.5104977851674735,False
ApartmentMidRise_5A_uniform_random_3,ApartmentMidRise,5A,uniform_random_3,uniform_random,,,,1.4418828289288217,False
ApartmentMidRise_5A_uniform_random_4,ApartmentMidRise,5A,uniform_random_4,uniform_random,,,,2.309244203990842,True
RestaurantFastFood_5A_uniform_random_0,RestaurantFastFood,5A,uniform_random_0,uniform_random,,,,0.8232012161603366,False
RestaurantFastFood_5A_uniform_random_1,RestaurantFastFood,5A,uniform_random_1,uniform_random,,,,0.8253535742582344,False
RestaurantFastFood_5A_uniform_random_2,RestaurantFastFood,5A,uniform_random_2,uniform_random,,,,0.8148354223663065,False
RestaurantFastFood_5A_uniform_random_3,RestaurantFastFood,5A,uniform_random_3,uniform_random,,,,0.848840855018141,False
RestaurantFastFood_5A_uniform_random_4,RestaurantFastFood,5A,uniform_random_4,uniform_random,,,,0.8109541425742504,False
