tag,building,climate,source,source_type,format,model,seed,energy_ratio,anomaly
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,1.0521938934857373,False
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,1.008489975324928,False
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,1.1561072490516229,False
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,1.0732981654405582,False
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,1.047707913889716,False
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,1.0398503876368121,False
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,1.0246858387684672,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,56.11032045239127,True
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,1.1951994809168478,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,53.08098015692215,True
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,0.7661040540445907,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,1.2602992837203446,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,1.152870257913037,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,1.107466154332721,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,1.1310817509816304,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,1.1497463247513304,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,1.1497463247513304,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,1.2272331860128385,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,1.0014851118178245,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,1.2199611676862194,False
