,sum_sq,df,F,PR(>F),eta_sq
C(Unit),29.496888082423016,1.0,34.27763526096075,2.5351606776268676e-08,0.09708198180658759
C(Range),39.9683147253286,1.0,46.44623223717233,1.7091309725187774e-10,0.13154618860680775
C(building),69.4276638814847,4.0,20.170061100176078,1.5843080455155957e-13,0.22850461997828844
C(model),0.0877085714118691,1.0,0.10192405421599357,0.7499390849347232,0.0002886718731242312
C(Unit):C(Range),23.727558534933554,1.0,27.573233990679945,4.635969471070803e-07,0.07809360769062997
Residual,141.12670283958752,164.0,,,0.464484930044562
