,sum_sq,df,F,PR(>F),eta_sq
C(Unit),26.065107498624773,1.0,68.87930527146527,8.225236142093777e-14,0.13956549462828477
C(Range),16.212208563764804,1.0,42.84216602011471,1.0588520576125657e-09,0.08680819395577517
C(building),65.4904851556345,4.0,43.26607054708403,1.5368745280817718e-23,0.35066849253066457
C(model),0.008874720836454313,1.0,0.02345221886099731,0.8785090387864484,4.751965067832702e-05
C(Unit):C(Range),26.382312289053694,1.0,69.71754641797416,6.194412325452333e-14,0.14126396617600462
Residual,52.599978005436846,139.0,,,0.2816463330585926
