tag,building,climate,source,source_type,format,model,seed,cvrmse_pct,nmbe_pct,ashrae14_pass
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,7.465386745346052,-7.326825989536408,False
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.012299370650722,-1.657066297145984,True
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,0.8532225886875784,0.1552970492688604,True
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,5.550621157002071,-5.42726380497873,False
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,22.657912228667378,22.498347842913084,False
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.10639888110273,-1.9225446696216137,True
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,1.7923740422810455,-1.6281670109827708,True
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,3.666419428859861,-3.55369454596612,True
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,7.451203454782919,-7.344808321449812,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,7462.740951034864,7417.386260590681,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,61.04523825702539,49.42299662466208,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,7054.8944042976245,7006.741560007107,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,28.01489736933919,-22.641214967334808,False
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,57.255783139547056,48.768319256982856,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,21.205344175631524,20.346858449380402,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,18.708090814809104,16.009260003013093,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,24.397542399171343,21.185230995712352,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,20.685243383903856,19.923965373627677,False
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,20.685243383903856,19.923965373627677,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,45.49296027545891,43.54273260077109,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,10.564694530408692,10.008784952350961,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,48.156365352155426,44.711538222480364,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,30.801451076214725,24.602691805395896,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,69.80347347341069,64.01110315273588,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,35.715283073127715,11.620861388607205,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,43.46015657139395,7.555782994934994,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,37.71245439871526,14.209541056507636,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,33.89655785741639,11.550696365012179,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,35.379404080831044,12.40355669996109,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,32.127066937066544,26.409039149418916,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,37.67079310096389,34.065803424241615,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,35.62227846366569,9.373657356767763,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,27.63374040859845,23.53857264726357,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,39.32351990505884,8.835691708033135,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,30.23654065215719,11.608587181377144,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,26.748991402339882,8.928609605294755,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,28.511673183322817,14.810236289990891,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,27.047803375701573,13.56822740728304,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,26.225080928588802,5.173622393733469,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,35.6880038099536,31.079527729949636,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,40.04641461987825,37.166295312010405,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,21.898018072427366,5.4210511780790664,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,50.95643871096106,50.553288649875114,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,52.63337311685229,51.75933397267012,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,283.522036879364,281.46181156243483,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,51.834686634055736,-51.65441756901201,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,11.839732082112635,-11.811097157178073,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,128.74875957990415,126.642385654139,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,292.41624621437825,290.34147443529315,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,44.35250088159966,-44.287684106154344,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,55.35368222546756,-55.17772331167533,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,55.47277907988028,-55.35413653706583,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,45.39309239683484,-45.3302829346541,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799871,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,58.047645744117574,-57.75608616858771,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,41.50225254178105,-41.46917950247881,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,35.68352934118261,-35.66256453682626,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,41.64459786678702,-41.60442384799174,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,48.904869000634974,-48.85291447140706,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,50.43120651957974,-50.294896512429986,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,66.00136241473933,-65.61334322386422,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,66.58346227526923,-66.2216865318803,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,66.58780041370689,-66.22430034056973,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,66.28118609030443,-65.92665554956996,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799871,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,66.69113747330081,-66.3369238537705,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,48.58648549764389,-48.34542646501478,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,67.70572855414822,-67.25925093337288,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,49.539243276814666,-49.23837291662458,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,58.84798896977041,-58.48186457024512,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,61.77002698452437,-61.44451615076554,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,48.776162587354,-48.59451231262927,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,49.124852800565414,-48.89108431622287,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,63.84414661790247,-63.57785100582585,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,51.66977469590509,-51.424007312517695,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799871,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,51.66977469590509,-51.424007312517695,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,34.976503195352926,-34.85014793538181,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,54.317771687202544,-53.9866614586585,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,48.09759858285748,-47.812340417865315,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,47.951749947676205,-47.688771823629274,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,49.00584044986191,-48.67381569112334,False
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799867,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,791.0365710168422,773.1661105525052,False
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799868,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,1216.4601098116,1198.1374948389134,False
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799869,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,45.13249383768189,44.43620003101631,False
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799870,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,1072.7191795294318,1058.2527445519859,False
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799871,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,3967.6783827455674,3955.558816481811,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799867,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,20.604631776248553,19.345776521620316,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799868,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,25.107775991677805,24.7677828522451,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799869,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,29.080920906540914,28.300979078370474,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799870,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,46.68410151554241,46.24698046813308,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799871,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,22.881491233379876,22.79377488481431,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799867,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,39.21976631541455,38.63544887608143,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799868,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,28.58147147740251,27.633470090589253,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799869,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,23.84947223797032,23.679550130930565,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799870,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,46.915468912698366,46.21136624597869,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799871,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,25.798767251495576,25.4349489850092,False
RetailStripmall_5A_F3_llama-3.3-70b-versatile_seed1542799867,RetailStripmall,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,15.860153204750208,-15.459695413799569,False
RetailStripmall_5A_F3_llama-3.3-70b-versatile_seed1542799868,RetailStripmall,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,52.281982888153614,-51.73040284490248,False
