,sum_sq,df,F,PR(>F),eta_sq
C(Unit),188.2895589754903,1.0,134.11780654984153,5.8982683919167236e-30,0.034709168331962574
C(Range),275.57541119800305,1.0,196.29112676267857,2.1825798547808575e-42,0.05079938254391668
C(building),8.808189222777845,4.0,1.5685083982653185,0.18010812580914085,0.0016236955681274451
C(true_name),2230.681453277508,8.0,198.61304661078933,2.495031536884207e-240,0.4112022911842625
C(model),49.95927663975446,1.0,35.58576819765562,2.936617097029025e-09,0.009209458835994427
C(Unit):C(Range),168.2902890056982,1.0,119.87241644142993,4.7951603700546234e-27,0.03102251660429967
Residual,2503.174576811597,1783.0,,,0.46143348693143676
