building,format,model,true_name,mean,std,n,sti,stable
ApartmentMidRise,F3,openai/gpt-oss-120b,cooling_cop,15.030674846625768,0.0,5,0.0,True
ApartmentMidRise,F3,openai/gpt-oss-120b,cooling_setpoint_C,1.5132924335378304,0.7316377840490083,5,0.4834741572972507,False
ApartmentMidRise,F3,openai/gpt-oss-120b,equipment_W_m2,44.94752623688156,11.130053501198354,5,0.24762327169110415,False
ApartmentMidRise,F3,openai/gpt-oss-120b,heating_setpoint_C,3.053805138148323,0.0,5,0.0,True
ApartmentMidRise,F3,openai/gpt-oss-120b,lighting_W_m2,81.45161290322581,50.96018443583031,5,0.6256497891131642,False
ApartmentMidRise,F3,openai/gpt-oss-120b,occupancy_m2_person,9.132212630622446,0.0,5,0.0,True
ApartmentMidRise,F3,openai/gpt-oss-120b,outdoor_air,1033.3333333333335,182.57418583505535,5,0.17668469596940836,False
ApartmentMidRise,F3,openai/gpt-oss-120b,window_shgc,8.695652173913052,0.0,5,0.0,True
ApartmentMidRise,F3,openai/gpt-oss-120b,window_u_value,15.255174957355596,0.0,5,0.0,True
ApartmentMidRise,F4,llama-3.3-70b-versatile,cooling_cop,11.963190184049083,4.200326361235934,5,0.35110420352895233,False
ApartmentMidRise,F4,llama-3.3-70b-versatile,cooling_setpoint_C,1.8404907975460092,0.0,5,0.0,True
ApartmentMidRise,F4,llama-3.3-70b-versatile,equipment_W_m2,21.739130434782606,5.748212747430531,5,0.26441778638180446,False
ApartmentMidRise,F4,llama-3.3-70b-versatile,heating_setpoint_C,3.053805138148323,0.0,5,0.0,True
ApartmentMidRise,F4,llama-3.3-70b-versatile,lighting_W_m2,118.41397849462365,23.76030850761249,5,0.20065459171014408,False
ApartmentMidRise,F4,llama-3.3-70b-versatile,occupancy_m2_person,21.157049825836737,0.0,5,0.0,True
ApartmentMidRise,F4,llama-3.3-70b-versatile,outdoor_air,480.0000000000001,150.1850710142508,5,0.31288556461302247,False
ApartmentMidRise,F4,llama-3.3-70b-versatile,window_shgc,14.673913043478262,1.2152543355977128,5,0.08281733249999228,True
ApartmentMidRise,F4,llama-3.3-70b-versatile,window_u_value,12.028030058549648,2.06174724770623,5,0.17141188022229117,False
ApartmentMidRise,F4,openai/gpt-oss-120b,cooling_cop,15.030674846625768,0.0,5,0.0,True
ApartmentMidRise,F4,openai/gpt-oss-120b,cooling_setpoint_C,1.5132924335378304,0.7316377840490081,5,0.4834741572972506,False
ApartmentMidRise,F4,openai/gpt-oss-120b,equipment_W_m2,30.014992503748125,11.130053501198358,5,0.3708164677971681,False
ApartmentMidRise,F4,openai/gpt-oss-120b,heating_setpoint_C,3.053805138148323,0.0,5,0.0,True
ApartmentMidRise,F4,openai/gpt-oss-120b,lighting_W_m2,121.7741935483871,50.960184435830314,5,0.4184809847710569,False
ApartmentMidRise,F4,openai/gpt-oss-120b,occupancy_m2_person,9.132212630622446,0.0,5,0.0,True
ApartmentMidRise,F4,openai/gpt-oss-120b,outdoor_air,966.6666666666667,149.07119849998597,5,0.15421158465515789,False
ApartmentMidRise,F4,openai/gpt-oss-120b,window_shgc,13.043478260869566,2.43050867119542,5,0.18633899812498217,False
ApartmentMidRise,F4,openai/gpt-oss-120b,window_u_value,15.255174957355596,0.0,5,0.0,True
OfficeMedium,F1,llama-3.3-70b-versatile,cooling_cop,223.6245954692557,0.0,5,0.0,True
OfficeMedium,F1,llama-3.3-70b-versatile,cooling_setpoint_C,192.39766081871346,0.0,5,0.0,True
OfficeMedium,F1,llama-3.3-70b-versatile,equipment_W_m2,44.15297867124295,23.407723128031638,5,0.5301504866143313,False
OfficeMedium,F1,llama-3.3-70b-versatile,heating_setpoint_C,239.01607403799318,4.356683833414097,5,0.018227576747501816,True
OfficeMedium,F1,llama-3.3-70b-versatile,lighting_W_m2,85.56422569027612,1.7056749385813759,5,0.019934440180123268,True
OfficeMedium,F1,llama-3.3-70b-versatile,occupancy_m2_person,1084.1326228537596,60.177296342639266,5,0.055507319929396386,True
OfficeMedium,F1,llama-3.3-70b-versatile,outdoor_air,6288.888888888889,6846.531968814576,5,1.0886711611189257,False
OfficeMedium,F1,llama-3.3-70b-versatile,window_shgc,66.66666666666666,0.0,5,0.0,True
OfficeMedium,F1,llama-3.3-70b-versatile,window_u_value,84.96021734911702,1.0848379475547225,5,0.012768775568180643,True
OfficeMedium,F1,openai/gpt-oss-120b,cooling_cop,8.231832892027068,4.802039486217697,5,0.5833499718961382,False
OfficeMedium,F1,openai/gpt-oss-120b,cooling_setpoint_C,6.432748538011691,0.0,5,0.0,True
OfficeMedium,F1,openai/gpt-oss-120b,equipment_W_m2,80.30889924000981,23.8770574404233,5,0.2973152124656165,False
OfficeMedium,F1,openai/gpt-oss-120b,heating_setpoint_C,2.3477837311251792,0.13070051500242802,5,0.05566974217842015,True
OfficeMedium,F1,openai/gpt-oss-120b,lighting_W_m2,62.83313325330132,21.677910190862676,5,0.34500762684349656,False
OfficeMedium,F1,openai/gpt-oss-120b,occupancy_m2_person,14.186985305990635,10.022075441883251,5,0.7064274210287158,False
OfficeMedium,F1,openai/gpt-oss-120b,outdoor_air,46475.18518518518,63140.65000897791,5,1.3585884544060978,False
OfficeMedium,F1,openai/gpt-oss-120b,window_shgc,16.71957671957672,10.704319618630711,5,0.6402267113674697,False
OfficeMedium,F1,openai/gpt-oss-120b,window_u_value,83.01960023287404,0.0,5,0.0,True
OfficeMedium,F2,llama-3.3-70b-versatile,cooling_cop,1.7711091497499247,2.6018696259652576,5,1.4690622688797208,False
OfficeMedium,F2,llama-3.3-70b-versatile,cooling_setpoint_C,4.257309941520464,2.35962476627421,5,0.5542525206495746,False
OfficeMedium,F2,llama-3.3-70b-versatile,equipment_W_m2,3.888207894091701,2.609385529026467,5,0.6711023690352412,False
OfficeMedium,F2,llama-3.3-70b-versatile,heating_setpoint_C,5.416463711641495,2.387844317561192,5,0.44084931510369885,False
OfficeMedium,F2,llama-3.3-70b-versatile,lighting_W_m2,61.46458583433374,0.0,5,0.0,True
OfficeMedium,F2,llama-3.3-70b-versatile,occupancy_m2_person,49.99730878949352,0.0,5,0.0,True
