format,parameter,llm_cv,ref_cv,ratio,building_sensitive,midpoint_sticky_rate
F3,cooling_cop,0.013655118751428138,0.046735302889690564,0.2921799562026664,False,0.74
F3,cooling_setpoint_C,0.00426783095763111,0.031071296064769854,0.13735606486239188,False,0.96
F3,equipment_W_m2,0.1353893595282815,0.9039712304470944,0.14977175707386106,False,0.04
F3,heating_setpoint_C,0.0028503635551324195,0.01901639200733045,0.1498898189537563,False,0.72
F3,lighting_W_m2,0.0777201970041068,0.29345622576438135,0.26484426016747403,False,0.48
F3,occupancy_m2_person,0.27262168385054864,0.6198408588008938,0.4398252873777083,False,0.48
F3,outdoor_air,0.1192717642221677,1.1764192283722719,0.10138542565918071,False,0.5
F3,window_shgc,0.005078977472978973,0.011052002668908998,0.4595526824533735,False,0.66
F3,window_u_value,0.009014338207350838,0.021116625796611787,0.4268834563899508,False,0.0
F4,cooling_cop,0.014350911629074353,0.046735302889690564,0.3070679067373724,False,0.74
F4,cooling_setpoint_C,0.0023140701573656944,0.031071296064769854,0.07447613876620678,False,0.96
F4,equipment_W_m2,0.34565653023505494,0.9039712304470944,0.38237558740016203,False,0.08
F4,heating_setpoint_C,0.0,0.01901639200733045,0.0,False,1.0
F4,lighting_W_m2,0.05300487358641914,0.29345622576438135,0.1806227605100368,False,0.72
F4,occupancy_m2_person,0.5088747578085896,0.6198408588008938,0.8209764661094262,True,0.18
F4,outdoor_air,0.0822312247843962,1.1764192283722719,0.06989959259521263,False,0.5
F4,window_shgc,0.005121412084768964,0.011052002668908998,0.4633922229476376,False,0.96
F4,window_u_value,0.016966436176162634,0.021116625796611787,0.8034634102804881,True,0.16
