,sum_sq,df,F,PR(>F),eta_sq
C(Unit),188.2895589754904,1.0,131.56716118044116,1.9474222283405205e-29,0.03470916833196259
C(Range),275.5754111980076,1.0,192.55807246951034,1.1816621522165091e-41,0.050799382543917505
C(building),8.808189222777898,4.0,1.5386785882958782,0.18839580058473787,0.0016236955681274547
C(true_name),2230.681453277505,8.0,194.8358341684423,6.829514791375085e-237,0.41120229118426194
C(Unit):C(Range),168.29028900569628,1.0,117.59268914957528,1.407127772622545e-26,0.03102251660429931
Residual,2553.133853451352,1784.0,,,0.47064294576743126
