Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 04/03  07:00:00,,,39547415.6839665,14902812.328068804,39547415.683966495,20410324.212849412 
 04/03  08:00:00,,,42266559.51559763,15566238.592361167,42266559.51559763,23270052.680197433 
 04/03  09:00:00,,,44858306.88476223,15897834.016239883,44858306.88476222,25514132.127169617 
 04/03  10:00:00,,,50033549.82710406,17509871.17651664,50033549.82710405,29068250.369503416 
 04/03  11:00:00,,,63379491.80409831,21530704.771823928,63379491.8040983,38106506.25497806 
 04/03  12:00:00,,,61802977.03302087,17620402.984476212,61802977.03302087,40125845.25443883 
 04/03  13:00:00,,,62725037.990086645,17399339.36855707,62725037.99008666,41840598.452422686 
 04/03  14:00:00,,,62927001.26137029,17178275.752637926,62927001.26137029,42206889.279281855 
 04/03  15:00:00,,,61786207.83194506,17178275.752637926,61786207.83194506,41082177.62969294 
 04/03  16:00:00,,,61826336.78233084,17509871.17651664,61826336.78233084,40953550.2897564 
 04/03  17:00:00,,,62771411.713167354,17509871.17651664,62771411.713167354,41893405.3006754 
 04/03  18:00:00,,,63229540.59146421,17288807.560597498,63229540.591464214,42572796.89254754 
 04/03  19:00:00,,,64980163.54754097,18219142.392859332,64980163.54754098,40522393.71331223 
 04/03  20:00:00,,,67150093.2186731,18682544.140628308,67150093.2186731,39788295.32108689 
 04/03  21:00:00,,,65105221.982695214,18461480.524709165,65105221.98269522,38199341.17476189 
 04/03  22:00:00,,,57230641.85822058,15238279.907154456,57230641.85822059,33871967.72155767 
 04/03  23:00:00,,,56545029.479863085,17150120.057866313,56545029.47986309,30819938.827676855 
 04/03  24:00:00,,,46066258.70003988,12672171.062015373,46066258.70003988,26952038.569260504 
 04/04  01:00:00,,,34399685.07134167,12056845.847863462,34399685.07134167,17048887.53810828 
 04/04  02:00:00,,,31346419.98119618,12066163.80388038,31346419.981196176,13988076.413377693 
 04/04  03:00:00,,,33715664.05994286,11956057.28042778,33715664.05994286,16419020.404000146 
 04/04  04:00:00,,,37169087.69177204,12286376.850785581,37169087.69177204,17555343.01240374 
 04/04  05:00:00,,,48997821.1790849,13754174.505834779,48997821.17908489,28216566.39044272 
 04/04  06:00:00,,,50886148.83026479,15123303.552513106,50886148.83026479,26639325.293371473 
 04/04  07:00:00,,,45387123.85167292,14876560.188161062,45387123.85167291,26259949.686358146 
 04/04  08:00:00,,,50953980.67329311,15566238.592361167,50953980.67329311,31938091.135238525 
 04/04  09:00:00,,,52208400.661004804,15897834.016239883,52208400.6610048,32844620.23821987 
 04/04  10:00:00,,,55322132.80920617,17509871.17651664,55322132.80920617,34339219.49716395 
 04/04  11:00:00,,,64768835.23826622,21530704.771823928,64768835.23826622,39451127.488666 
 04/04  12:00:00,,,64036073.13750615,17620402.984476212,64036073.13750614,42293254.8580773 
 04/04  13:00:00,,,63308799.51985381,17399339.36855707,63308799.51985381,42364436.05529204 
 04/04  14:00:00,,,62328513.253250904,17178275.752637926,62328513.253250904,41592760.99037695 
 04/04  15:00:00,,,59817887.20667153,17178275.752637926,59817887.20667153,39136973.87586433 
 04/04  16:00:00,,,60769517.61238247,17509871.17651664,60769517.61238247,39900231.01976574 
 04/04  17:00:00,,,63000389.348803736,17509871.17651664,63000389.348803736,42117076.4712531 
 04/04  18:00:00,,,63560177.562358916,17288807.560597498,63560177.562358916,42888919.989754826 
 04/04  19:00:00,,,64097322.320619464,18194504.988441385,64097322.32061947,40068076.55213188 
 04/04  20:00:00,,,65791712.4242048,18682544.140628308,65791712.4242048,38807077.53396699 
 04/04  21:00:00,,,63955581.78354172,18461480.524709165,63955581.78354174,37339039.67443799 
 04/04  22:00:00,,,57299434.91472921,15238279.907154456,57299434.91472922,33940738.70289675 
 04/04  23:00:00,,,56572094.02309547,17150120.057866313,56572094.02309547,30847043.379815187 
 04/04  24:00:00,,,45420196.19240981,12672171.062015373,45420196.192409806,26307256.62262054 
 04/05  01:00:00,,,34504842.013890944,12056845.847863462,34504842.013890944,17155805.660116546 
 04/05  02:00:00,,,31375705.368906118,12066163.80388038,31375705.368906118,14018106.97346254 
 04/05  03:00:00,,,33812883.7569798,11956057.28042778,33812883.7569798,16518194.044461988 
 04/05  04:00:00,,,31688215.421922486,12286376.850785581,31688215.421922486,13702464.79160174 
 04/05  05:00:00,,,44688504.2594748,13754174.505834779,44688504.2594748,25264930.48284217 
 04/05  06:00:00,,,49982095.479464605,15123303.552513106,49982095.479464605,26376657.994606804 
 04/05  07:00:00,,,46163059.89762835,14937248.711562328,46163059.89762835,26977352.97144085 
 04/05  08:00:00,,,48483044.9307164,15566238.592361167,48483044.930716395,29473162.557057403 
 04/05  09:00:00,,,50047690.59763053,15897834.016239883,50047690.59763053,30687698.61017108 
 04/05  10:00:00,,,52637268.92677532,17509871.17651664,52637268.92677532,31656560.630009595 
 04/05  11:00:00,,,63044789.296704784,21530704.771823928,63044789.296704784,37745698.62956439 
 04/05  12:00:00,,,63450768.627468936,17620402.984476212,63450768.62746894,41709585.84925343 
 04/05  13:00:00,,,63052800.63202102,17399339.36855707,63052800.63202102,42079858.88923943 
 04/05  14:00:00,,,59566611.43719129,17178275.752637926,59566611.4371913,38835436.735865705 
 04/05  15:00:00,,,52405415.49606013,17178275.752637926,52405415.49606013,31761866.55745604 
