Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17631790942.765736,236005674.97838318,8511222.124675024,16534103855.102358,0.0,0.0,17834899760.417236,170118036778.0266 
February,17263679304.201427,331629903.7233469,8106696.446190266,14617333121.452812,0.0,0.0,16048531272.550674,165339035815.12357 
March,11599571505.989824,302775946.0659968,3957735.685539823,17002243590.591957,0.0,0.0,16974524992.466274,135906715293.20567 
April,6088112934.877403,448920147.73824376,1007510.3578106157,17293955044.964214,0.0,0.0,15904146493.055204,97548028284.5622 
May,1595964290.6424005,2012249968.1290574,0.0,18828022343.377514,0.0,0.0,18012992059.85043,71371999011.12334 
June,111719435.40587649,3926063715.381859,0.0,19311776559.496326,0.0,0.0,21621486561.87151,58668824774.13662 
July,2789677.2704984453,6363028596.007751,0.0,20754700396.52963,0.0,0.0,28233174929.29392,57853859510.111786 
August,7272011.944214751,5565595594.572726,0.0,20796989883.228264,0.0,0.0,25164422482.802673,57726842963.280975 
September,609348674.4014077,3481194754.082244,0.0,19830014821.63972,0.0,0.0,20237509330.18949,61111898221.67524 
October,3350252022.4435105,1414095192.4594543,122868.04661454662,19858641242.914593,0.0,0.0,17699842351.67279,80661205832.36789 
November,9158480143.525991,170132976.35799423,3488184.020481446,18187079372.086197,0.0,0.0,16683519769.284266,112292004629.41693 
December,15790651418.236483,260300091.91551188,10335191.685032172,17326113136.6893,0.0,0.0,17786532390.91321,157313853227.56006 
