Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,20092543.225374263,14152495424.786413,9391488.433395784,7455784141.524367,8546956.614799393,6202324246.819454,9245833.417074393,6099524493.667961,10521396.36693674,6017826114.318147,17573889.010315217,11251545958.635735,9001782.15879493,5789148855.96178,9734351.314011982,5713138882.378076,12159308.97386581,5479709235.341264,17353841.357144788,4990518096.967908,104283868342.90436,101667268.54028593 
February,12813044.623260256,13217148613.070013,7508009.816467258,7000376008.437444,5738424.507347389,5802065007.003466,5643542.131090153,5739835955.39124,6102016.017263897,5667828384.324787,11690690.246760134,10666931206.545614,6271375.50700262,5481478376.7693615,6032007.319013066,5427191601.557464,6589250.249447728,5219020697.471234,13638570.879755143,4727242864.6099825,95746794039.62358,0.0 
March,22006744.041514136,13881770115.009768,12415189.663440721,7398139805.087864,8664661.322036533,6181396908.489234,8286629.765457202,6103622213.989558,9116453.729249021,6010571242.782433,20139426.012150444,11301012759.465412,10423680.365692057,5815308219.491985,11028466.83446774,5749333550.962557,12687627.65752359,5502627805.649563,15302128.248248069,4940328656.123525,106263688450.73645,3119083.860885735 
April,13429931.262134925,15083910852.647964,7682462.381122746,7909431169.162514,5117712.348993244,6542769454.181988,5088836.675986708,6469467557.771998,6361265.314484131,6383218678.52488,11569815.082650447,12005131149.862005,5845016.153062422,6211453870.803997,5732309.5040932745,6139351002.509297,7368024.886074634,5938295263.860931,10097594.20815908,5629530690.75675,108921012270.00249,0.0 
May,8444248.530681185,16063933311.074589,6288682.035957989,8391444700.66135,4649536.117496272,7010632522.551969,4612441.859626345,6905219949.21215,5325682.585429643,6823469419.9178,6559957.916744534,12819002728.709743,3277693.7753236727,6640138025.961834,3166911.280834937,6586316292.219401,3996168.336730658,6407742882.711013,6641448.703793135,6267313927.947898,122651787553.36186,0.0 
June,4730854.030609722,17456803296.405872,6079246.0560953,8917911894.066902,3398297.332922164,7544442101.266996,3415455.2795133917,7440987130.241362,3521800.6012034165,7362508264.33798,5760669.363416847,13863243035.390015,2842159.731336692,7171369420.27162,2706665.43831242,7123780574.651865,3132802.556135558,7001304515.875857,3859575.2043252704,7220650776.779446,127402138163.60416,0.0 
July,2820848.9696741635,19152004349.382027,5870276.149773767,9602503366.030378,2453350.62292992,8095729545.05824,2348547.493273033,7971682815.495808,2627776.184588842,7891249102.142805,3696408.1536734137,14838334313.715298,1616418.2849057012,7681097843.313606,1714382.8926546418,7628661035.172663,2016904.9846899235,7545990937.545595,2364070.920400817,8026317221.528888,137943617699.16125,0.0 
August,3133394.678032743,20006462987.872097,7327971.068106689,9882729364.332706,2940210.98930438,8500784424.982539,3024418.9994955882,8380901228.397336,2650979.2773657213,8300240164.973748,4410341.603444744,15677797932.958403,2124666.216598037,8108002582.555727,2134860.485894778,8049670796.317385,2170173.411621374,7981009390.77879,2491911.7258456545,8644072466.44836,138798236466.28506,0.0 
September,3016347.301309393,19219245250.53315,6528437.2106119795,9542243446.610163,2755341.912906943,8087514736.367015,2041185.2000496588,7977934290.114783,2675019.673903959,7888114304.683704,4730232.0978808375,14897926472.657103,2169308.537541081,7706359633.9548855,2047023.5167654245,7646673675.989684,2842552.853824947,7581518010.975711,2790288.287867467,8194522107.387742,131953971107.15245,0.0 
October,6544539.97385089,19389502098.125134,6885764.071114665,9648526551.160728,2289196.3262862847,8117089291.268588,2692475.18392731,7995564582.905975,3385549.1138238455,7906745123.434304,6808333.503072107,14957517767.452341,3260699.433530771,7730075824.64563,3610054.7200606056,7660860499.789899,3512267.3644755464,7585742956.682951,3375525.236203026,8096957585.509604,126357266413.50229,0.0 
