Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18286031790.565685,160704323.57916468,7445924.592454992,16557769426.34164,0.0,0.0,18244591577.435818,171456021835.36023 
February,17734636410.24392,257294996.46037206,9847584.478031008,14636827145.393679,0.0,0.0,16384905440.575996,166064379735.85712 
March,12051422475.142673,303735545.62537843,3321242.8608392016,17051107683.658255,0.0,0.0,17331593501.797756,136864571655.91977 
April,6478769938.614492,501468809.90417016,409047.9785865975,17351858926.377045,0.0,0.0,16222041611.672937,99150191779.53276 
May,1798333551.3409817,2099815356.6866438,230618.89210099814,18848028345.737904,0.0,0.0,18094209180.12301,72804977751.70203 
June,153761753.29363102,3916814772.282543,0.0,19298159452.727734,0.0,0.0,21284054763.099335,59180147869.84545 
July,4041807.1576770716,6259449124.401834,0.0,20746326604.119274,0.0,0.0,27557275079.063248,57929604754.1835 
August,11066254.599889766,5566480354.706764,0.0,20763037127.48077,0.0,0.0,24636383937.296654,57933317607.3111 
September,733763399.8745258,3484476288.0264263,71783.62995764898,19841790936.46885,0.0,0.0,20065960778.675762,62125341872.29503 
October,3732992108.1495275,1446001394.6403215,235386.03992818782,19899649188.25456,0.0,0.0,17990318953.457726,82636745105.47017 
November,9826118546.705202,139887891.58752498,1706909.456760003,18207623497.664265,0.0,0.0,17105261510.708078,114500540528.71219 
December,16517389545.135942,194130242.08031863,6632136.546759583,17337823249.745033,0.0,0.0,18202505107.326176,158550702955.25418 
