Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18290615256.93456,20364530.08731209,6506509.96593892,15029176915.111832,0.0,0.0,16006968578.938078,162404236469.5766 
February,17619124532.740868,33374411.85800501,6844001.785824177,13171529267.592495,0.0,0.0,14389563398.196587,157266077086.22342 
March,13139113262.436684,91384459.90539841,2876399.589156074,15442474701.605299,0.0,0.0,15255422901.757301,130164021479.28535 
April,7503079662.885641,163120026.20963907,291814.8241432895,15771138298.735785,0.0,0.0,14325017814.558113,94960887377.80225 
May,2260135222.601961,956531068.6820917,0.0,17014569111.018293,0.0,0.0,15688243660.835514,70537213699.6069 
June,177548065.49565202,2089842994.0421424,0.0,17511266957.97159,0.0,0.0,17929953673.310913,58331408663.24911 
July,3260717.9882625514,3697395727.9014864,0.0,19009019697.660866,0.0,0.0,22755955001.20147,57737142684.970276 
August,7962510.001544653,3181437126.670091,0.0,18915255885.95188,0.0,0.0,20412194812.518757,57618764858.38649 
September,839916682.3891599,2028689113.5340385,0.0,18073524620.059944,0.0,0.0,17070761588.164146,60652411998.29003 
October,4199909544.9993944,686689807.2668483,278864.73741638655,18231895777.484554,0.0,0.0,15677979417.707863,79141842333.10153 
November,10353591408.932209,55236946.75416398,1507376.48122484,16786859083.372234,0.0,0.0,15041772705.6451,108343483385.89334 
December,16499702316.27624,35652420.75246428,4305836.763089814,15825063058.356724,0.0,0.0,15971896388.650728,149464381896.25955 
