Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18522218395.65547,16364689.905667562,7124036104.524276,23800422.289601717,7867227529.38592,5891814.936261457,7947209998.574843,5403341.659921229,8101381747.768264,4899004.116150359,15253243825.184837,6223474.060025977,8078129933.2776375,8595770.617706316,8111970475.636913,6602187.773523497,8576068454.646368,4793242.469968163,13916805235.284554,0.0,72118712186.91885,376933787079.58453 
February,12287139916.243723,291510502.2474278,4447664738.276301,197292215.60018742,5072737109.04362,147939092.40262446,5151635169.168863,149304416.42737415,5282606887.72485,137461037.6929401,9915399536.397573,264512834.13678288,5252711489.834806,139946433.43486613,5299679909.604676,144812420.1694934,5672516811.396244,98279337.16686234,9876772722.353662,19930796.77844037,63559606076.309906,268821404089.1134 
March,8117122050.442255,638686925.5913131,2672605770.253549,389389988.63312835,3275476380.8679748,300559070.1558778,3403233369.4823694,293833424.63663846,3498561026.8164034,259309647.41792747,6514758434.670382,507695477.704051,3518269975.3680935,274118505.49551225,3541122999.7211165,261969287.2220712,3871822349.206236,196333571.6117602,7355175630.167446,36326743.36553431,69011037429.13875,217343964804.13248 
April,3495859346.0786924,2837380015.010708,930526672.0113574,1312845318.8526504,1226134871.52226,1157352440.0547762,1338913477.6668851,1117841434.4954877,1438785022.7598448,1067014669.4499065,2764643676.5648913,2175954344.050663,1473045724.6179879,1086339281.1038105,1495122044.5827322,1063635139.127707,1664909518.1373453,963493885.1150296,3682170754.7205415,618821932.9949002,63431151734.3996,105193914597.33432 
May,740627811.7130274,5670054799.818257,81263842.11323412,2575008674.18153,161780896.85124055,2307206594.515209,204791201.02739158,2234044748.212371,234582024.55193573,2169852277.331082,479054906.151924,4143692225.7978783,243968480.08731174,2084332993.7141175,255174705.77203658,2040278976.4581754,334031464.6764989,1881626341.8739889,1072236032.2060553,1438221339.292295,64525711155.285774,21941595341.966583 
June,51633247.49879469,8196370713.881405,21212042.689711425,4011087105.177457,20770499.007964462,3463921595.610105,21426387.68194422,3401219775.096617,22370517.619587548,3345029531.275971,42844501.754659794,6295626743.640963,23576436.859973144,3202164923.4129534,24239286.142317653,3127316394.822426,26640820.542476177,2917472300.51547,33922459.18929684,2612271981.859599,66485019862.63366,117452537.07401703 
July,30885843.62879047,10413645459.50805,9101746.819741748,5382439164.449547,8944116.00180497,4422803320.414,9701691.749033397,4342821459.268076,10947813.003416467,4277828643.15449,20048949.023497555,8127292693.562472,11039951.9270127,4190983377.3491673,11845566.336195111,4127575003.792743,15842389.29544768,3928463665.3196115,23734701.955484126,3771046395.62597,77150509548.91203,119819764.63854925 
August,36879821.43745446,10471360888.060421,16846759.375739366,5183344634.509655,15754091.691676123,4429834484.90604,16085607.039285555,4356613559.024492,17087225.920480028,4299260348.139845,32408121.328953885,8121219258.605192,17915217.866539527,4172168576.579385,18044114.281535856,4112706140.173315,20404384.64161603,3953422774.454994,24093137.128860157,3816877961.0153027,76617460763.57661,0.0 
September,122884951.788336,7501251185.945929,32190861.9557936,3269521445.7523284,36442875.57531611,3011004256.620681,37149594.98595363,2906616405.275835,38258097.58150082,2837849974.509777,67929332.19137757,5337755495.680811,37004612.54914548,2716343182.6378603,38057409.98404664,2661364683.7455597,47603091.85838565,2502572973.0160937,242079251.3186605,2154955646.5722394,64260467118.71584,9933406078.22133 
October,1818770234.0427237,3974834937.4236507,418953279.8422859,1768534778.4034364,681630879.5429844,1530665648.4601066,762240937.1824623,1462224301.1568615,818421464.8245602,1395298553.0427022,1586477401.001388,2734584796.3657312,834632612.0410936,1385973550.5626678,854394504.1675534,1356047488.2191288,1006421474.7594801,1242178599.7151446,2348811519.3098755,900167699.4327571,66663462351.58205,83263300923.496 
November,6818410230.061632,788881397.0832345,2427556189.613631,436738381.0720797,3103261068.425174,355072099.9300799,3165311167.4317927,334422429.94901884,3273782695.233883,310776476.0981655,6143259701.756529,604786716.092552,3267286341.5350847,316089351.84773016,3299501884.46103,303766642.67750555,3510610792.0524592,265169345.68433884,6222035934.434606,120920503.02826081,67028549146.21574,188502641469.94943 
December,15158353830.601192,35756312.96501779,5780630644.412146,35348157.92901499,6481683186.793921,10652148.5356362,6560963434.983023,14522433.62440812,6710360251.340426,5850934.955498095,12607440932.02396,12022981.00916659,6707243670.403322,12180381.545282358,6723312238.734659,7687819.763627332,7122494932.379835,6448980.105777639,11933418352.12251,0.0,71400492704.36353,324433021819.0082 
