Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,377168097.05178,4025964839.2862935,0.0,23287117072.938335,0.0,0.0,28447828028.61746,63753848442.758606 
February,128704123.21552548,3902342300.7536507,0.0,20991914950.451786,0.0,0.0,25943703164.697376,56532492118.54433 
March,111459002.70419024,4109019488.7571063,0.0,22995851649.76763,0.0,0.0,29444166117.862553,62220020858.72514 
April,9351482.137480436,5582035811.026545,0.0,22639276767.988495,0.0,0.0,31741096959.72674,58418273095.34449 
May,1907737.7333622733,6483950797.798114,0.0,23454672862.113773,0.0,0.0,37978306042.79734,59292684653.35198 
June,7029684.283108824,7981114079.501045,0.0,23235975440.65407,0.0,0.0,39387209929.337234,56439723344.86681 
July,2834844.6712491177,9274916213.126072,0.0,24078190440.5395,0.0,0.0,43573841585.8142,57529108359.61402 
August,3224963.2989093415,9773531565.002106,0.0,24706053834.513187,0.0,0.0,43494855696.78234,57299671171.87011 
September,2723084.9539630627,8938971164.025719,0.0,24053595137.29273,0.0,0.0,41361439487.81612,55666311925.45537 
October,4604401.314638535,8093479288.54268,0.0,25056089116.093056,0.0,0.0,38545729822.525826,58263402006.43891 
November,3537953.6567237936,6251881951.422407,0.0,23810153919.99545,0.0,0.0,31775043255.931904,57392445948.279366 
December,9960052.990479168,4399207996.77723,0.0,23766203566.205753,0.0,0.0,27973167373.18378,60762037414.89236 
