Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/03  20:00:00,,,33550775.341636736,17611997.415621314,33550775.341636732,8009606.381645041 
 01/03  21:00:00,,,33361650.90828605,17412088.921604548,33361650.90828605,8020520.591803773 
 01/03  22:00:00,,,33089929.274815936,17212180.42758778,33089929.27481593,8068815.621461321 
 01/03  23:00:00,,,30005972.66960199,14084177.858593762,30005972.669601988,8144479.664060419 
 01/03  24:00:00,,,32531411.486455027,16059483.37501275,32531411.486455023,8216385.871534331 
 01/04  01:00:00,,,25980633.659080397,11581534.379161809,25980633.659080394,8313133.233635481 
 01/04  02:00:00,,,18332277.684855703,10976868.122852663,18332277.6848557,2357598.9883498745 
 01/04  03:00:00,,,17878808.315637298,10975649.216364183,17878808.315637298,1886079.1906798999 
 01/04  04:00:00,,,18252131.926428117,10876079.555416983,18252131.926428117,2357598.988349875 
 01/04  05:00:00,,,18509232.603590474,11174788.538258582,18509232.603590474,1886079.1906798999 
 01/04  06:00:00,,,26346267.199478943,12568339.774420526,26346267.19947894,8498100.942732122 
 01/04  07:00:00,,,30570498.8041862,13926891.260147657,30570498.804186188,8524417.316436123 
 01/04  08:00:00,,,30661006.702406906,14126799.75416443,30661006.702406902,8539697.741804548 
 01/04  09:00:00,,,27151815.305891227,14744712.171656933,27151815.305891227,8513873.384549854 
 01/04  10:00:00,,,26210451.622278146,14616801.236264933,26210451.62227814,8508195.963070232 
 01/04  11:00:00,,,27758861.575854547,16175950.591785753,27758861.57585454,8489111.884456052 
 01/04  12:00:00,,,31907294.193683263,20165051.504239477,31907294.193683263,8335855.5559998965 
 01/04  13:00:00,,,28252713.063614868,16275904.838794136,28252713.063614864,8351509.275585048 
 01/04  14:00:00,,,27470991.290741704,16075996.34477737,27470991.290741697,8285811.032802224 
 01/04  15:00:00,,,27269830.9064559,15876087.850760601,27269830.906455897,8268427.666569596 
 01/04  16:00:00,,,27324062.873448957,15876087.850760601,27324062.873448953,8338359.7235313235 
 01/04  17:00:00,,,32174814.307810795,17537378.988158196,32174814.30781079,8354094.546324739 
