Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18598518941.842403,12122492.453483831,4825970.145324576,13436067445.07798,0.0,0.0,14120174626.845892,165536042542.27603 
February,18129840033.768024,65780006.788974985,6098038.483064335,11771882263.269236,0.0,0.0,12691383383.895514,160734281669.30035 
March,13044461422.735834,88654664.56875138,4366287.673528501,13849099503.7092,0.0,0.0,13324808304.665625,131919612059.74849 
April,7365459494.402878,162305358.35605562,1094292.7692105423,14235135672.319387,0.0,0.0,12417019216.75673,96170020194.13063 
May,2220175359.6461873,991227074.1436387,136114.01788356938,15476515772.920197,0.0,0.0,13589908682.366756,71201798712.72464 
June,180277262.77269554,2222095663.2426896,0.0,16104249694.580364,0.0,0.0,15666590565.451756,58472996426.354576 
July,4263821.340076223,4007657992.52293,0.0,17556984937.233204,0.0,0.0,20062514055.7284,57766799222.26348 
August,9088025.803416662,3395609934.46286,0.0,17498371757.835205,0.0,0.0,17949461352.327507,57648315792.90575 
September,827563270.7865539,2096331484.0627985,0.0,16664079947.479193,0.0,0.0,14910234766.967945,60904612682.63862 
October,4101947459.0281796,703924749.4011545,276537.259107204,16691991119.297203,0.0,0.0,13689633371.268856,80094439139.96545 
November,10188974356.677242,56521766.33367801,2280819.114376426,15205359809.824461,0.0,0.0,13177521324.370893,109715244656.64307 
December,16659704137.996328,38576619.68284171,7718268.754243624,14230348477.524326,0.0,0.0,14066989034.777498,152077362933.20544 
