Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,28684129211.00564,680822024.1833198,16018922.337562177,17397384860.912933,0.0,0.0,21501978443.98428,252643556250.34042 
February,21214874447.37858,389931949.82837564,11052275.343924725,16440311361.596958,0.0,0.0,18846626460.66275,196721744745.62537 
March,17606222183.59617,134723959.6138241,5179026.335540219,19137421811.556343,0.0,0.0,20077178317.797367,173220809201.36578 
April,9277526027.049791,168523462.50927705,1715348.3560717637,19611035331.04114,0.0,0.0,18570400370.614017,116492676195.59169 
May,2843189121.366637,971702732.2852155,1180032.8901269701,20968341750.994568,0.0,0.0,19282462646.633244,76685837789.09367 
June,330728700.12456334,2249411671.0435104,0.0,21251148850.232548,0.0,0.0,20067700857.73021,60220996036.76597 
July,167875575.17868242,3829080782.930661,0.0,22726962729.8774,0.0,0.0,23833874510.343708,59339163800.60238 
August,195321159.93773428,3604162207.4687853,0.0,23017275965.389717,0.0,0.0,23424445278.861923,60272569005.32864 
September,2060738605.8666213,1369459876.8908825,271358.30166047916,21911180145.028397,0.0,0.0,19699326572.910557,70025533790.65083 
October,7383606982.937806,361998103.5915771,3309342.2593985326,22099810219.345318,0.0,0.0,19643664423.47327,101988263109.07153 
November,14936562201.11826,22062149.248506766,4852447.664351891,19927888086.136353,0.0,0.0,19691880127.835945,145776604861.5313 
December,25196032010.114613,348515513.8958437,7278839.139923994,18641228224.40455,0.0,0.0,21302949579.261623,221504614884.16864 
