Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,28625008812.769836,207121520.50814408,4924559.318440151,17353887529.407757,0.0,0.0,22357055648.815125,239112747526.8473 
February,21860281077.075314,146720878.94934657,4182419.2978333435,16489247113.255646,0.0,0.0,19654486653.88712,185817814243.1677 
March,18917181426.035133,27580099.298934422,3734550.9158726376,19245961826.18298,0.0,0.0,21076621719.773857,165274138281.61 
April,10463080942.404886,114556608.98542571,2537717.110741888,19739621731.542995,0.0,0.0,19657867048.80413,112519340294.97513 
May,3581079009.660332,687942487.6589009,0.0,20955172547.733894,0.0,0.0,20414126069.636745,76441235226.10356 
June,559839281.532852,1646205210.6357257,0.0,21235414765.079903,0.0,0.0,20938190027.218044,60678266630.26787 
July,242769009.54953367,3010475307.108695,0.0,22758587784.22285,0.0,0.0,24201015747.851746,59470408905.5964 
August,335557128.3329615,2793026241.1532936,0.0,23033961384.03116,0.0,0.0,23888773848.303013,60495922522.74541 
September,2720612538.3531275,1025300201.2129731,0.0,21921381346.42109,0.0,0.0,20694994277.49618,69881476284.01689 
October,8530637815.784838,247280861.42093995,69399.51892736433,22213701964.93171,0.0,0.0,20788021993.85608,99768249811.0634 
November,16262776861.988695,8557746.798172843,1816991.9862639827,20116107713.983776,0.0,0.0,20696669516.784775,139783637334.0322 
December,25837125137.628616,73719151.76280655,4972077.1405998515,18704508880.637905,0.0,0.0,22192101359.39137,209745335619.61264 
