Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,82887063.6751515,4600239922.491532,0.0,30772911670.517475,0.0,0.0,39873920194.385544,62170806863.61385 
February,15477579.25158456,4439413788.572213,0.0,27755005516.104935,0.0,0.0,36228281267.21273,55627213477.84045 
March,16323667.323960267,4692133218.7717705,0.0,30493265290.901237,0.0,0.0,40965498834.83388,61325353924.39982 
April,1674469.2049846093,6006084457.562889,0.0,29979298714.15245,0.0,0.0,43085210815.40338,58305103510.74036 
May,570461.3500232787,6985590672.433786,0.0,30755294915.11701,0.0,0.0,49380835824.25576,59273272091.6671 
June,1688823.9328867802,8515425119.352382,0.0,30255443495.216766,0.0,0.0,50241980268.9465,56413009362.383644 
July,2611279.8499128255,9915282971.06138,0.0,31039391225.418106,0.0,0.0,53872426499.93202,57495330928.773865 
August,3224454.4557704558,10405061908.35005,0.0,31706095130.058846,0.0,0.0,53912404851.470726,57269197218.409065 
September,1885537.781039952,9541915721.928696,0.0,30854842536.721104,0.0,0.0,51700939577.457306,55637118895.70005 
October,896985.1190395309,8655554792.220081,0.0,32369072589.41457,0.0,0.0,49961514584.51535,58237742074.48623 
November,440978.4246221942,6697685733.819479,0.0,31123227181.60779,0.0,0.0,43130118377.37742,57335272304.61013 
December,797.8040212710765,4968914520.467411,0.0,31335749033.021637,0.0,0.0,39299036125.75015,60234370977.79717 
