Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17441764827.88385,7390145.781456069,6383453.564518173,20584787049.41887,0.0,0.0,23075879547.968937,174466674163.93045 
February,17263073021.28778,7392159.741950518,8379590.6560600065,18275879353.93512,0.0,0.0,20758629651.290363,171211957323.72885 
March,11941317808.003695,146531373.1225317,2886735.4819193617,20951785660.209057,0.0,0.0,22369632674.666862,137649299635.97623 
April,6621160793.54313,298008267.76098984,968479.5734195051,21087927651.925224,0.0,0.0,21383501957.417515,98971046104.86421 
May,1941300917.9939263,1443838894.8491907,0.0,22525778998.461815,0.0,0.0,24189465471.570236,72148762611.57405 
June,178208008.44647244,2993467292.567669,0.0,22971246355.695686,0.0,0.0,28282749969.461395,58969695087.301674 
July,6337828.862947425,5063644813.886308,0.0,24645232803.0944,0.0,0.0,35719090853.707306,57879990534.3762 
August,12880788.867320336,4402730587.048403,0.0,24652829840.57795,0.0,0.0,32435141234.607838,57860179445.75219 
September,732896175.1200893,2748992380.857324,0.0,23448119731.236996,0.0,0.0,26758534381.291138,61703111943.41263 
October,3624414963.821986,1100831103.0599673,0.0,23661953383.942482,0.0,0.0,23638586875.334972,81796902339.25034 
November,9227669614.061113,135978315.18531835,1026339.0161448094,22081299481.269463,0.0,0.0,22031806701.210026,114090906325.69669 
December,15532620229.557621,42441965.459049836,6725452.798493351,21370897672.823124,0.0,0.0,23070340343.21468,160313428843.31 
