Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,7682565012.335826,1135592159.665512,2464432556.270159,569765709.918748,3313953275.5749774,457914338.9462472,3449528096.913977,436454034.9277077,3573724720.1800737,404341130.4479755,6867213647.170904,720890208.7772756,3675542039.060817,366979545.33499146,3720972339.160701,353922972.8816187,4034848103.684056,287111515.810112,7705242414.819357,36850146.269501895,87214812593.302,102244761228.84912 
February,7626545838.951059,848346956.3849657,2531231498.449716,439380947.035404,3273922320.78974,345443247.95013964,3396863447.979971,333208105.7728571,3531435191.42628,307301065.76155204,6807541545.654854,549312827.9295163,3614634737.679088,273598596.9174596,3679600168.4253592,270946105.1809101,4000607900.528555,211882685.52832627,7537574265.848604,11456179.323933324,78555002566.16026,102643962674.92038 
March,4301450123.416836,2601271679.873005,1154805617.7848048,1315125585.9708667,1605053662.6062562,1095603577.9901674,1736064390.2443862,1056146894.3157281,1811161760.9074574,1010624558.5442033,3494378486.329377,1894800581.769267,1883522126.270019,932373799.1298805,1914579404.8082566,908035974.6517402,2196601940.3072,804715170.2883736,4903214748.307503,394869171.8209754,85989051523.52599,56193185178.541954 
April,984339545.0574046,4218618735.9088297,102039273.30781588,2204380362.469684,195165203.60744467,1683365747.1035101,249529604.6769048,1616891817.1402478,306039531.54688483,1556587876.9170837,674649830.9375626,2947151785.1528664,350758313.26283085,1421692156.2353034,389703738.4162845,1374220067.1042998,508951439.77288574,1227309891.3722522,1950351436.589161,800230771.4147413,80596282699.6122,13073300331.368946 
May,55578818.9645629,7955971042.215327,26865986.352921255,4582870978.616946,27319966.23410768,3478353214.692105,27556454.60036209,3409218630.1898804,28155845.041011814,3306713956.8610063,52466622.915610805,6164064618.970901,28652402.750775497,3109760132.475893,28778604.269335963,3003008960.3169565,30252129.95027324,2693955284.3738737,209536682.99116987,2101961144.2778056,87624124513.21106,254649812.59351617 
June,25313309.050358757,11943473711.831877,6702616.418379476,6485674099.441233,6656264.7992676115,5236158177.254962,7460099.2553080665,5167128377.553765,8977196.775252292,5085862020.248533,19183306.954670917,9556833661.14416,10504555.171408825,4919842447.897254,11951617.403327845,4839547130.057463,15401927.264858223,4590806725.405626,22254195.375021927,4091754740.1427813,95600300537.30351,0.0 
July,8981994.581778102,15491231371.534128,5768549.480628013,8036302459.551154,3568089.191424833,6556536045.303396,3378912.5678648604,6458795101.767111,3761299.1778167496,6379014075.095162,7613177.533621912,12016501104.878386,4031017.5169916702,6196332810.449238,4564945.948493495,6133941094.70798,5381376.167517257,5987943894.418511,10704565.743581645,5795177190.550576,108338455313.49103,0.0 
August,10284957.623317586,14586748212.526472,6579202.917941943,7641233140.672914,4271956.468387276,6268436355.954088,4210897.218442149,6199563442.704572,5406947.591449808,6110370798.736886,11645098.231419764,11525201424.619211,5825699.092849646,5938893008.379412,5582740.187688873,5881764575.50912,7114818.118328568,5722821045.056446,15399707.79329106,5530517264.796818,105785364305.32715,0.0 
September,27367381.528649237,11014722215.720774,12644041.32674264,5923207513.556497,9803141.831829399,4606148667.550617,10034046.9799269,4526069142.72595,11071087.614690494,4439909277.508255,24921665.685982775,8353272399.158121,13535748.6912948,4268829332.3926306,14498701.910439648,4197717242.8538046,17594963.928044762,3982117051.08082,25320930.480247106,3601130934.817969,91999841724.01173,768942.248650436 
October,151771450.04892105,7136834139.036597,27463228.13130884,3814417298.6182804,37933060.297745906,2861072143.498868,57022131.61385174,2794012090.39765,64505499.21063616,2712723876.8038287,143074632.5598602,5034195985.687546,75849856.1666415,2516622416.6441536,82675107.80259821,2448417002.2028875,105298883.55439831,2253037949.391465,437003055.53304994,1848533452.935214,86867484811.70067,1886618534.8118293 
