Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/05  09:00:00,,,105102881.08250782,104647718.22248563 
 01/05  10:00:00,,,108851320.83961107,104647718.22248563 
 01/05  11:00:00,,,107234267.09679219,105482342.22248563 
 01/05  12:00:00,,,107027687.88952655,105482342.22248563 
 01/05  13:00:00,,,107181343.82642335,105482342.22248563 
 01/05  14:00:00,,,107927946.56855989,104647718.22248563 
 01/05  15:00:00,,,111256037.51469742,104647718.22248563 
 01/05  16:00:00,,,118349370.28741185,104230406.22248563 
 01/05  17:00:00,,,151908105.9977276,104230406.22248563 
 01/05  18:00:00,,,157832836.52400002,42594804.8188105 
 01/05  19:00:00,,,157832836.52400002,42594804.8188105 
 01/05  20:00:00,,,157832836.52400002,42594804.8188105 
 01/05  21:00:00,,,149956524.4308758,42594804.8188105 
 01/05  22:00:00,,,9342084.973767914,36763553.44696204 
 01/05  23:00:00,,,5325035.6500713,36763553.44696204 
 01/05  24:00:00,,,5325035.6500713,36763553.44696204 
 01/06  01:00:00,,,5325035.6500713,36763553.44696204 
 01/06  02:00:00,,,5325035.6500713,36763553.44696204 
 01/06  03:00:00,,,5325035.6500713,36763553.44696204 
 01/06  04:00:00,,,5325035.6500713,36763553.44696204 
 01/06  05:00:00,,,5325035.6500713,36763553.44696204 
 01/06  06:00:00,,,5325035.6500713,36763553.44696204 
 01/06  07:00:00,,,5325035.6500713,36763553.44696204 
 01/06  08:00:00,,,5325035.6500713,36763553.44696204 
 01/06  09:00:00,,,104265188.91917019,104647718.22248563 
 01/06  10:00:00,,,106282170.0455419,104647718.22248563 
 01/06  11:00:00,,,104475645.76123111,105482342.22248563 
 01/06  12:00:00,,,103716304.50264202,105482342.22248563 
 01/06  13:00:00,,,101724925.55894774,105482342.22248563 
 01/06  14:00:00,,,102536161.97921282,104647718.22248563 
 01/06  15:00:00,,,105609232.96645698,104647718.22248563 
 01/06  16:00:00,,,115117042.08828995,104230406.22248563 
 01/06  17:00:00,,,152314224.04332814,104230406.22248563 
 01/06  18:00:00,,,157832836.52400002,42594804.8188105 
 01/06  19:00:00,,,157832836.52400002,42594804.8188105 
 01/06  20:00:00,,,157832836.52400002,42594804.8188105 
 01/06  21:00:00,,,149956524.4308758,42594804.8188105 
 01/06  22:00:00,,,9342084.973767914,36763553.44696204 
 01/06  23:00:00,,,5325035.6500713,36763553.44696204 
 01/06  24:00:00,,,5325035.6500713,36763553.44696204 
 01/07  01:00:00,,,5325035.6500713,36763553.44696204 
 01/07  02:00:00,,,5325035.6500713,36763553.44696204 
 01/07  03:00:00,,,5325035.6500713,36763553.44696204 
 01/07  04:00:00,,,5325035.6500713,36763553.44696204 
 01/07  05:00:00,,,5325035.6500713,36763553.44696204 
 01/07  06:00:00,,,5325035.6500713,36763553.44696204 
 01/07  07:00:00,,,5325035.6500713,36763553.44696204 
 01/07  08:00:00,,,5325035.6500713,36763553.44696204 
 01/07  09:00:00,,,5325035.6500713,36763553.44696204 
