,5_seed,3_seed
C(Unit),0.03470916833196259,0.034888374147880374
C(Range),0.050799382543917505,0.04884071511480653
C(building),0.0016236955681274555,0.0018450907494499261
C(true_name),0.41120229118426194,0.43007820060579477
C(Unit):C(Range),0.03102251660429931,0.03318368368079249
