,raw,log
C(Unit),0.047034821314677094,0.09708198180658756
C(Range),0.04657364096071349,0.13154618860680778
C(building),0.03328779664954935,0.22850461997828853
C(model),0.0001288740578110942,0.0002886718731242312
C(Unit):C(Range),0.07309444500328803,0.07809360769062994
