,5_seed,3_seed
C(Unit),0.09708198180658756,0.11844122827021471
C(Range),0.13154618860680778,0.12392188058071796
C(building),0.22850461997828853,0.23058009275226343
C(model),0.0002886718731242312,4.7300186038463e-05
C(Unit):C(Range),0.07809360769062994,0.08959249122537631
