model,term,F,p,eta_sq
llama-3.3-70b-versatile,C(Unit),4.145919682171689,0.045751492664785065,0.015134836340910594
llama-3.3-70b-versatile,C(Range),6.629978154700301,0.012276990406366397,0.024202985587661006
llama-3.3-70b-versatile,C(Unit):C(Range),1.7874481832512616,0.18582748955754422,0.006525147083214894
openai/gpt-oss-120b,C(Unit),22.507926529025525,7.727909304158085e-06,0.1274405753671125
openai/gpt-oss-120b,C(Range),32.80920574644473,1.2989954360636926e-07,0.18576673654380887
openai/gpt-oss-120b,C(Unit):C(Range),11.998994414027734,0.0008135269304580155,0.06793867706909866
