Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,5711835675.030746,1856428299.0810266,1620137031.1473594,863426516.3828086,2380349721.86327,677675076.6185548,2588006171.3359976,655424422.2947062,2656739329.159102,609800901.3088902,5015996841.361915,1134370333.139035,2680149362.7617154,579156288.6088566,2711478265.4850974,563698421.0346222,3016452613.1194067,480914720.73574835,6192386669.864086,128201850.89727515,86619764508.0654,216019741699.13934 
February,5790735404.702945,1442100705.8361032,1739701642.7750719,662492446.9765581,2408188621.6938376,513643760.36700046,2595477931.239561,500983905.1162312,2708611306.992963,465735065.2493889,5067122724.944812,864286868.6769838,2711983033.115356,434782902.3255272,2740103165.729889,422917536.6033196,3034449762.7689023,350844619.6610818,6139566332.0968895,69758300.61176471,78074049596.4627,217232484034.1759 
March,2988440949.5756874,4504856635.455406,651585917.609319,1999206345.2201285,1050866968.3136868,1817437439.9569473,1170486537.0230122,1761809278.8790035,1243676389.2502387,1700104704.961854,2394595871.890239,3296005938.825773,1275607769.1326334,1661537373.73424,1293602922.7753315,1620952177.616511,1537319065.2258766,1492250803.2390308,3734994450.3745203,963102855.8782583,85257372743.66096,130749542354.26988 
April,718360714.2438065,6918914259.733067,59681322.02621798,3163363089.0554085,124685228.95194235,2880945465.2167253,169593876.75170836,2754178169.605827,202076128.23633108,2675189932.7791195,425820001.23735374,5114391500.377136,229388340.5167984,2585739954.2336764,241983951.76012892,2518268596.145131,335194018.1458499,2330215900.5065207,1376745835.3914628,1717240450.8719232,79567521514.4026,48422805466.56955 
May,61034780.6486545,10068661436.555973,30348447.249723386,4643477903.962421,28340278.979937,4180578493.879591,29272502.096412875,4071486472.585957,29656633.226166073,4002913544.4833236,58328269.38408088,7309864913.247203,31223424.62402567,3747141752.7818203,30978380.949086085,3648371876.4460664,32568875.851220433,3396916794.0300045,137621980.89884183,2908827792.0062857,85053764293.06111,2212391070.327136 
June,29938918.089864463,12253678199.768007,10564700.741923496,6482869296.566651,10535860.420093905,5327096521.058067,11897306.082375625,5246375132.826229,12740796.282618018,5180079558.711903,25711451.55380294,9754573622.781755,13958239.127732337,5023452155.508462,14778965.575905498,4940667870.189153,16998805.199295357,4684827896.297569,24351822.00028975,4260890034.8583603,92277490810.84822,0.0 
July,9347311.467158461,15449350432.942123,6581813.943659889,8037731968.324703,3064559.0872833263,6555174232.313772,3610992.3250657707,6464695030.982738,4115282.401700306,6383820618.394911,7595132.978856296,12124113668.775105,5077304.219812056,6246734586.032723,4684416.766842946,6185529035.601035,6848922.076785925,6021005025.1433735,11580467.042874942,5769842310.709318,105868518106.33101,0.0 
August,10241693.913963275,14676986665.583769,6201471.135648358,7708796803.301389,3508444.6391907926,6348084875.741166,5099804.221521603,6250228625.361424,4250009.0478561735,6189282425.360745,9997345.314509468,11720620985.445103,6299709.098450131,6045836862.969146,6082990.756063195,5987632710.8461,7214794.993795257,5818119972.684953,17341805.89769601,5570538291.223329,102120814692.40323,0.0 
September,37242021.87165421,12468674476.413883,16787952.430954695,6005040619.417697,16274550.837879103,5100836132.034719,16948084.77427336,5013843801.993463,17699367.90994276,4959212811.2774515,33492918.518255346,9175026938.166338,17985813.701401774,4723669136.905646,18491365.48105865,4659130513.76541,19924686.162789255,4488521500.34675,27388646.025929622,4251312032.1774917,88517956039.66063,1227195.694913317 
October,127421358.8432339,10571749874.650595,33502287.348297786,4603154190.736167,39655310.432587974,4302668288.631454,46909576.32717781,4163917097.876496,56365335.144488856,4100682857.184569,119665904.14969571,7563929460.950034,60884976.083837196,3880105979.5599723,62587196.20770359,3803589118.460729,82039695.58122739,3617438743.4902377,297461017.67221135,3169106246.077748,84607220166.31413,13960398481.03304 
