Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18521600105.402378,34488318.50106722,2924164.559765363,19080334069.44271,0.0,0.0,21261206591.314106,160194616342.775 
February,17767748476.436924,46187094.80602068,2648179.909058834,16803095192.248844,0.0,0.0,19127307446.053154,154994575983.13986 
March,13488298951.002495,83579245.96513392,2342172.9354701773,19470997570.626774,0.0,0.0,20543670162.455162,128695896802.9686 
April,7878364341.94393,152607526.6924782,426950.8893470977,19649936743.18201,0.0,0.0,19521791675.96413,94168220775.17224 
May,2479471117.9962535,943639120.6130174,0.0,21015672257.301052,0.0,0.0,21492252356.855675,70625018039.69936 
June,246446987.38624927,2089968518.6855648,0.0,21461969001.80063,0.0,0.0,24160853870.15596,58676547550.7669 
July,8194842.401433765,3772579208.632494,0.0,23188658674.235764,0.0,0.0,29619222819.89345,57814407568.978195 
August,16011767.251904259,3200124792.741335,0.0,23100747907.307426,0.0,0.0,27180431550.293507,57787779128.08354 
September,957107634.8144841,1974316613.4773083,0.0,21949425279.500614,0.0,0.0,23160235940.3967,61048442960.97248 
October,4462069658.0026245,658150674.425113,0.0,22206483675.215427,0.0,0.0,21234530645.481636,78713724207.03255 
November,10676981287.151104,52602964.41891075,909722.1790598088,20739527873.235416,0.0,0.0,20139297964.99586,106982161482.5718 
December,16739656577.473692,34745979.181819364,2651733.959273593,19848728962.65914,0.0,0.0,21212838583.48447,147497360729.31268 
