Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,21162716172.790882,9800192.487846533,9051128.075656371,12560036327.219885,0.0,0.0,13222025379.170525,170576749459.00497 
February,20785597849.21666,18475914.85751894,8598338.400942234,11028584508.163269,0.0,0.0,11883294740.167181,166549249656.87854 
March,15043458053.205757,47068425.44471277,3845436.1721997173,12993294480.606052,0.0,0.0,12539441207.40068,137158067680.80006 
April,8891663263.273045,82402696.67314602,2586987.597217112,13477271240.99681,0.0,0.0,11752692236.95366,100966336387.51073 
May,3147547982.1241684,765935183.4024998,401101.35506972077,14940665553.886196,0.0,0.0,12914908266.569536,74306305322.41429 
June,439499834.13256705,1932699720.4136922,0.0,15646958167.490467,0.0,0.0,14890988077.921144,59636072799.83001 
July,27463384.631036874,3933268277.2978973,0.0,17066721278.631392,0.0,0.0,19064971814.83321,58043337964.23949 
August,61102806.568321146,3124100680.73555,0.0,17021241635.96212,0.0,0.0,17050073892.93564,58124940393.247406 
September,1328812097.1167705,1667188731.075227,232160.22346474126,16170386084.274143,0.0,0.0,14167747454.839045,62886081901.94008 
October,5338497715.3223095,468231097.2466329,741149.1162483144,15997333036.614758,0.0,0.0,12951568643.38362,84263002002.47116 
November,11907324677.57615,21688714.392383482,1439740.3837157493,14362081642.659254,0.0,0.0,12432322858.935404,115101280579.76318 
December,19008216108.960358,11878980.500109946,7948139.0500666695,13368415190.580597,0.0,0.0,13216663998.047525,157697199444.47 
