Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18645227242.25207,6005354.826424533,10269371.61091293,17532895436.260494,0.0,0.0,19958017358.42206,174492189675.21637 
February,18547552069.737286,6014456.902075802,9519797.220638838,15550246171.036335,0.0,0.0,17898317282.167088,170798393166.9413 
March,13168589129.932108,73409924.50918268,2756350.348819105,17924534193.24934,0.0,0.0,19225378249.9744,138939287719.5584 
April,7609481550.846566,154998377.45025367,119811.82066162924,18160833534.469208,0.0,0.0,18264725373.44608,101056951413.16959 
May,2489324084.79546,1005847207.5935326,65800.38180537178,19676635147.448296,0.0,0.0,20475793437.49564,73858131960.94414 
June,296057768.1415065,2334681628.6489096,0.0,20150543859.126457,0.0,0.0,23755185740.632736,59587450084.283554 
July,17421073.946166135,4246245560.7811384,0.0,21719666659.391636,0.0,0.0,29980282890.30282,58007282875.759636 
August,30573969.537940685,3606848680.480998,0.0,21724418755.251522,0.0,0.0,27158374717.149952,58108550027.0709 
September,952150805.4624068,2145638071.1133032,0.0,20681367454.364853,0.0,0.0,22557992414.86123,62701634467.49782 
October,4224036036.467414,758850077.8442165,0.0,20814795934.49176,0.0,0.0,20220777612.12565,83604036102.65396 
November,10048812839.559992,70777779.75702138,1015497.862151978,19199154719.640934,0.0,0.0,19045364634.36714,115506461826.23001 
December,16581993787.046953,19683024.634072248,5835391.9810543265,18329166420.69152,0.0,0.0,19974304012.630424,160562922247.78067 
