Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18883871771.08923,8371845.180030192,5158013.007505397,13459995761.098452,0.0,0.0,13992689642.935383,164523011624.62567 
February,18542347252.98166,48138766.77606422,5769787.258949165,11827316070.424818,0.0,0.0,12582383323.08561,160653046565.5436 
March,13131303827.697714,87202146.06036705,4504174.749843239,13855993028.808481,0.0,0.0,13240346109.895876,131371059527.83672 
April,7390075483.068205,160912513.2621143,1091032.3837216175,14235779147.626955,0.0,0.0,12374296252.602243,96112649563.25974 
May,2228299684.187081,986347293.9904093,104459.63258427699,15475839991.644768,0.0,0.0,13573986401.914381,71223549796.60527 
June,184573593.43916276,2219356024.164737,0.0,16102969745.073656,0.0,0.0,15662566823.934265,58480636135.86595 
July,4370467.407618397,4005045581.2876053,0.0,17555225670.045223,0.0,0.0,20061584186.104935,57768112998.40705 
August,9248172.795463838,3390044154.359268,0.0,17496920708.981083,0.0,0.0,17949685739.02896,57650829341.54281 
September,831830349.7680044,2088588279.9902833,0.0,16660849486.183964,0.0,0.0,14900544004.538855,60923042418.9206 
October,4123978564.3637424,705404769.474196,276418.4666889778,16690822478.17292,0.0,0.0,13663814232.714293,80133346494.42642 
November,10224291926.358381,58309108.54317138,2370035.2219734704,15204596366.728983,0.0,0.0,13118122016.516264,109523424525.59698 
December,16872085518.75651,21725083.102468442,7639423.900813471,14248474278.882961,0.0,0.0,13960468978.789543,151509888958.61737 
