Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17222389016.30278,128123101.9186725,3561781.7168025216,17878699094.269196,0.0,0.0,20809831352.91467,161641456332.7622 
February,16260624023.207483,99268066.40467583,6699425.939196629,15617286572.364487,0.0,0.0,18707521739.607933,155353812950.03662 
March,13306698525.384476,116109997.6358332,653922.9782638575,18447288788.494907,0.0,0.0,20065739803.550014,132611047888.83562 
April,8281317531.124124,117779044.08200827,209845.33967374434,18805263447.501022,0.0,0.0,18979031468.47131,98304148196.55405 
May,2863849578.7150474,844830734.9830855,0.0,20288554722.710354,0.0,0.0,20790321472.934658,72498858160.94724 
June,382888238.9294087,2004329272.161793,0.0,20764165350.45437,0.0,0.0,23418181268.858727,59351429618.293816 
July,23660402.604251005,3841361800.9195623,0.0,22417985042.936188,0.0,0.0,28801297747.300148,57981863777.49512 
August,50213969.23640361,3174937296.855417,0.0,22374579156.476772,0.0,0.0,26418349983.997498,58102117802.48904 
September,1177437698.0319173,1817527359.0628746,0.0,21260059495.77696,0.0,0.0,22472612689.40268,62143272962.33098 
October,4846591311.642413,583000441.9496102,9195.60679173072,21429146325.754887,0.0,0.0,20619317474.916363,81233103635.57854 
November,10732748164.98227,78460064.73977779,281155.9796750113,19828144702.26433,0.0,0.0,19649126196.179977,110559494856.6453 
December,15835450969.44603,97163494.10368527,2968915.6034466485,18734547686.274296,0.0,0.0,20758245537.637505,149880611017.79395 
