Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,29209115608.486202,545637138.8917407,4323649.939093331,27713542632.89717,0.0,0.0,34898146323.19538,251316538971.4278 
February,21562332318.020073,335176370.5734614,6520506.464986406,25806444243.59531,0.0,0.0,30919444989.090992,195956862213.076 
March,17833827893.04935,75208225.9332324,6487487.8738062205,29511608185.291416,0.0,0.0,33435642789.43144,174168537881.58322 
April,9474568897.717087,175223975.16655618,2118643.142431656,29567721527.809467,0.0,0.0,31564488813.083717,115638722389.90062 
May,2954118173.812315,993786418.6477252,0.0,30976422373.18081,0.0,0.0,33106612413.267155,75709715358.19475 
June,377801185.348503,2240715867.574015,0.0,30949691361.70198,0.0,0.0,34170872902.575283,60103203287.35343 
July,182278400.8325359,3800409172.514763,0.0,32847134523.959305,0.0,0.0,39174001033.559555,59207691541.78102 
August,224174868.66557893,3577523994.267633,0.0,33168612937.356094,0.0,0.0,38627236850.32679,60124332321.931 
September,2186883629.8431625,1408597072.2488015,0.0,31609009937.82012,0.0,0.0,33361268550.177242,69314731315.36758 
October,7550320427.863397,384833360.93674195,0.0,32255543754.14465,0.0,0.0,33134180831.859867,101505608615.34673 
November,15133107949.866379,22198963.44044307,1508104.815311127,29995512669.98933,0.0,0.0,32679522110.95733,147251958799.7981 
December,25510981982.35647,225852071.2953683,7576222.95999022,29078765537.440746,0.0,0.0,34702938158.974815,222248301370.33194 
