Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17949500788.101265,8289213.875898489,5554004.812993067,15111787008.647419,0.0,0.0,14847161078.934978,161772648779.78983 
February,17828289811.82695,68256419.46668366,6605527.161387814,13336997322.496511,0.0,0.0,13355847110.03284,158373033305.6084 
March,12140640587.39792,127314460.45925942,3924801.994662275,15471916638.745363,0.0,0.0,14084293647.19727,128278703399.36224 
April,6471389432.206922,263421732.32784724,1181648.0655239238,15753532142.494463,0.0,0.0,13220523519.431017,93352647962.08821 
May,1681291979.7473044,1396965032.632229,43339.92073019421,16985631113.31375,0.0,0.0,14729319429.075243,69667154977.70554 
June,84620637.2050287,2905374390.468401,0.0,17508127467.653877,0.0,0.0,17264573105.078037,58061959279.803505 
July,672321.3749321874,4839904327.819793,0.0,18978960314.782383,0.0,0.0,22255532621.528133,57722647137.22884 
August,3465584.840777587,4161907914.563459,0.0,18953146863.1991,0.0,0.0,19892865671.704964,57532043257.74213 
September,572085943.1790389,2702671076.651993,90959.89277546153,18061983450.347736,0.0,0.0,16331361442.578728,60043696799.77947 
October,3382164758.87334,993003256.7417548,137347.1265217095,18202878214.826004,0.0,0.0,14670892844.04568,77891135625.9217 
November,9247872923.517967,99712257.43410382,1719509.9945476272,16772460157.511034,0.0,0.0,13953766236.92894,106391318784.59193 
December,15912785367.364347,35145029.52610967,6476117.206205562,15891223517.05698,0.0,0.0,14824192884.290834,148562782005.7366 
