Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,26750856038.17089,465429432.5313665,14884394.42403615,17170184725.22844,0.0,0.0,21428867400.731697,247156474668.8011 
February,20411037516.76661,293195211.37741023,10172643.29825707,16348807234.855896,0.0,0.0,18798469822.83586,193274896179.40247 
March,17727719917.78436,264732172.23653954,4489736.046751366,19120947947.117554,0.0,0.0,20060881087.29713,172222095399.90762 
April,9311551062.777922,175366897.69054255,1643658.1108317575,19597600105.717968,0.0,0.0,18547834236.541233,116618985734.33214 
May,2861425514.2018156,958782554.2165484,1262025.2526660056,20936588097.050297,0.0,0.0,19205763584.93285,76548310899.27771 
June,334796378.2835495,2218656670.3290014,0.0,21201511165.745968,0.0,0.0,19957823974.310997,60199695324.32037 
July,168697049.15907407,3769985084.6161647,0.0,22678939425.255203,0.0,0.0,23673805527.14463,59320010351.639725 
August,198435694.16507402,3550861669.104591,0.0,22967071992.32773,0.0,0.0,23264379976.49075,60242479992.96571 
September,2079870694.1598608,1349140797.6615853,324378.27984835015,21884516134.308144,0.0,0.0,19602484731.557747,69862180765.88458 
October,7429440946.629654,353966373.71275914,2542395.43051186,22094993938.579636,0.0,0.0,19576317428.136288,101573441233.8915 
November,14994549625.58523,57444114.91274599,3964249.3929201807,19918507718.922447,0.0,0.0,19662007998.6557,145474745361.68652 
December,24372965084.07143,417762747.33053774,7133620.454173132,18526266900.734806,0.0,0.0,21246929311.436398,217793399302.47577 
