Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18345284593.699993,18839063.11421032,7039927654.278181,41101629.235490486,7849277956.049414,17763049.92180675,7929289447.796619,15258533.284308229,8084163895.78527,16277513.859129485,15364095113.468952,31946945.298421867,8137174628.049885,13862900.371840598,8176683026.690331,16050211.640754564,8641618472.30077,11153368.779615909,14063962094.45819,0.0,77406942372.33595,503133070990.50366 
February,12014496417.924765,395863642.8102449,4337704272.455678,248576365.62574866,5008341942.391434,198282038.31920347,5094883583.104773,192823744.641724,5207032200.093502,181161681.9364358,9923771297.529022,344474224.0974666,5248784690.711554,181600248.48244888,5293374927.059676,177558473.79815778,5673096570.229599,145914707.07271084,9946397705.312101,29231343.882826608,68214327608.87844,348358997955.6609 
March,7775682193.876845,878516957.2913002,2541509365.8571544,478671781.47267723,3148533388.0270267,398199763.04580706,3251776581.3119164,373772827.55817455,3363232779.497137,346973685.7466002,6377663724.0839615,678542888.2126533,3400205710.5091705,342580299.0663878,3444975963.2703314,342774700.55059916,3759229664.805824,275397469.0782259,7237255083.716008,52017026.721255176,74108340150.83568,269401396700.59592 
April,3373450681.452456,3351547679.633534,889658518.8975031,1527907452.629993,1208394726.1440606,1363369985.8680897,1300530780.9490855,1320213428.8925939,1381355600.9691825,1268473471.038029,2729612307.450077,2500627409.390961,1437234121.7316694,1248007095.2650168,1460977295.656609,1223374762.598195,1647191762.5149014,1112879490.9338903,3627338236.130414,753810805.2751391,68342230526.65351,127452346626.18967 
May,742193161.7290463,6415783490.349802,84112201.3175199,2918627362.6563516,164459659.07835752,2623379624.993918,197207312.3862459,2542709956.6380796,231528438.2897596,2478085464.5372972,482741928.6843568,4613873900.504268,245722709.7207143,2345364859.4955177,261184027.16425323,2292223955.0143404,338525498.195915,2120406051.6452105,1079001363.5327668,1711070829.3765125,69651617376.65431,26100337423.983532 
June,52903981.56351077,8997407893.084764,22082325.07148348,4379417848.4529085,21180159.76520466,3797071070.377659,21649828.332474772,3736418832.338096,22567842.563757714,3686462188.964269,43830533.18969815,6808529341.087993,24098989.45176366,3489275496.8676157,24803148.044994637,3395430669.2424784,27134231.68337926,3163686383.527613,39512125.480928674,2940975744.7615113,71047738958.37405,234184869.26557884 
July,31950297.28299969,11221089704.616663,9442299.060830072,5760447742.629674,9035121.690100897,4753220357.978574,9752922.470322788,4680813992.995361,10745930.485538533,4614592321.326783,19854268.03615845,8676638018.915808,10973828.719249666,4468782815.118985,11477403.97222315,4398625726.222947,15721342.692517519,4197098184.5074677,24102412.73724925,4063956412.0292296,80899692181.18692,250838389.23912832 
August,37440445.79341898,11320103782.235254,17888365.418890648,5545314955.964688,16362341.68706772,4763448974.26298,16641737.52358479,4699105483.382815,17551921.41126892,4644744650.302671,33405329.874992907,8639203421.846006,17967913.38921778,4453215370.8928175,18354205.799705427,4397569303.97655,20894656.078707542,4224170452.0169277,24266508.84657472,4163834480.370008,80560953160.09827,2749285.076922387 
September,125705826.54324086,8245652061.748361,32529969.37847703,3622099332.001275,35609942.92568381,3315294683.107253,36275625.15038334,3209905124.175788,38587572.33690575,3144763170.0833693,69769826.54341444,5804806086.526141,37801944.8537073,2979852733.3880596,38951494.631583236,2914613686.2181783,50856450.3623339,2741293517.7123995,258757100.64611104,2446244022.6926417,69125509740.07472,13261700158.14121 
October,1748430128.8985162,4564907018.292299,377574945.37344134,2011096438.1726966,650769109.6594293,1766944981.1225975,740599667.8166813,1685322873.9367714,806848101.9269878,1622288890.0779283,1567844223.2232752,3091277582.955051,836671733.7160691,1565096588.4566035,853969480.838005,1529920242.3482578,1002337232.4778674,1411968086.0902498,2295488991.344269,1057367921.6758796,71761626456.79941,101394832566.86699 
