Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16874510315.615181,168079171.48118237,9477415.759079274,19730212422.308643,0.0,0.0,21819881591.48228,173187281372.84225 
February,16647079179.307068,256530751.13522625,9397760.346650748,17523191524.715122,0.0,0.0,19638794905.594486,168770091102.13364 
March,10648927701.647469,400730741.11584574,6502297.787477583,20202951778.971825,0.0,0.0,20913765071.197075,135635389392.15204 
April,5321820681.7345085,724773925.4460982,952449.9793576722,20361771590.702812,0.0,0.0,19754576528.587124,96115167039.08665 
May,1231462988.2865777,2670462092.2814355,0.0,21912854241.195328,0.0,0.0,22353982734.253807,70264430854.37302 
June,61110521.27268967,4837232617.436317,0.0,22319728698.471813,0.0,0.0,26462422403.041424,58297867749.8342 
July,2022248.3943721373,7477739626.846522,0.0,23893743334.634468,0.0,0.0,33777850972.731075,57778906440.95205 
August,3330302.2225155164,6620772965.996508,0.0,23965471825.49605,0.0,0.0,30537490539.839863,57603338041.04935 
September,464755100.49028224,4283013740.755614,0.0,22796325455.64801,0.0,0.0,24863027317.513847,60463319602.705246 
October,2898486733.4741216,1910197834.791304,0.0,22990231708.99071,0.0,0.0,21909657459.2152,79724047023.15552 
November,8474246834.247985,230253358.73629102,1172997.1504402456,21265982455.705643,0.0,0.0,20553648617.071518,112306223314.37814 
December,15123581813.589148,227256924.648657,6663597.502294953,20520446176.76926,0.0,0.0,21750198054.71347,158758111978.4862 
