Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18527640130.725113,32072802.75357316,5105967.757629532,13520293698.401302,0.0,0.0,14105122954.457975,165374637068.15512 
February,17908987966.391644,59255073.37046741,5613542.600976407,11825528777.065042,0.0,0.0,12684790690.666113,160280319077.10892 
March,13144693043.697754,86328661.83891915,4038058.470956183,13950112120.89679,0.0,0.0,13333825011.922909,132240375975.72574 
April,7486877563.913976,152365528.84317756,1139675.2918584987,14353405113.668015,0.0,0.0,12437625849.111485,96352298381.74178 
May,2286430880.678557,955726992.9868667,103331.05669691991,15613817561.116865,0.0,0.0,13614821333.138021,71258134192.14807 
June,196646248.02988786,2157352947.379523,0.0,16215379761.908274,0.0,0.0,15681141404.041168,58504168272.70326 
July,5355256.54268846,3923875819.818594,0.0,17668307062.23627,0.0,0.0,20086974802.915375,57773583429.77793 
August,9343830.862791749,3307996192.3098774,0.0,17597114966.880672,0.0,0.0,17947617763.86321,57663440431.67235 
September,865970910.4394985,2023297014.067587,0.0,16787040530.091908,0.0,0.0,14907951119.236282,60972078993.49881 
October,4214660272.190927,667198538.2970254,970521.7861207059,16812194859.128157,0.0,0.0,13672010066.639301,80214409703.6594 
November,10356901955.282686,51100633.102443635,2191252.4741627076,15306079692.59268,0.0,0.0,13158674374.969738,110159917447.07144 
December,16651416487.246174,41480683.15117918,7467768.96720612,14311916218.651653,0.0,0.0,14049277642.506662,152136618246.75482 
