Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,29296891982.193504,408590826.8667346,12930471.638474382,17742041185.045155,0.0,0.0,23074665470.903095,248365359462.77106 
February,21984177956.090557,282519591.5330284,8533247.545307145,16760725735.473604,0.0,0.0,20265700024.7082,192556095433.5121 
March,18586776002.719627,53017004.37415587,3519082.355113366,19479667024.266808,0.0,0.0,21676353109.882896,169853928563.60583 
April,10210845155.877077,120404046.7683551,1945186.9163072514,19955378185.892185,0.0,0.0,20179891486.951305,114808451776.83495 
May,3469516207.821954,723348453.1259128,652713.5561995907,21339258497.27804,0.0,0.0,21037996495.55963,76928651881.84802 
June,541780538.6512742,1740230464.8007207,0.0,21666692505.328087,0.0,0.0,21793979090.30766,60718050466.90817 
July,236319544.01131836,3211167257.5256715,0.0,23196380879.135197,0.0,0.0,25590527429.639977,59527989143.39309 
August,325635631.9964517,2988143892.512642,0.0,23467348088.893803,0.0,0.0,25183838739.152794,60585002065.32996 
September,2639793120.070504,1099178938.3056421,0.0,22303787750.40629,0.0,0.0,21425579880.71092,70309985523.08879 
October,8287518792.178814,271040915.4829693,1988509.7587287526,22526505867.051502,0.0,0.0,21352692744.026993,101392793346.5459 
November,15936700026.620808,10157686.47180465,3500069.8868992007,20267104148.320435,0.0,0.0,21279599955.65137,143466607889.68546 
December,25972133284.48453,172275632.58329454,4695627.725516793,18988738826.739727,0.0,0.0,22881020445.338562,217354106573.21582 
