Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17740472029.695427,48371100.77927106,5413802.974668594,12756245203.061583,0.0,0.0,13955128678.524405,166093252639.83307 
February,16813726226.153545,37942690.89343171,5760823.255778378,11028936365.5476,0.0,0.0,12534272137.41119,159936037715.98508 
March,13462383759.024464,69279556.58841334,4330864.499999533,13309097938.620745,0.0,0.0,13198793074.694033,135924187383.81964 
April,8247634970.85979,114135613.38444254,1554432.149228174,13819985926.52798,0.0,0.0,12243230521.39194,100039363966.69023 
May,2773630667.288368,790732229.0597453,189814.9895369167,15074050046.039654,0.0,0.0,13163546545.597126,73213178262.38036 
June,320079361.7439824,1820408687.221865,0.0,15717590532.126356,0.0,0.0,14877335746.191172,59119280060.097305 
July,12775579.069950195,3452665839.9641294,0.0,17101887488.84843,0.0,0.0,18874499119.214565,57861069215.70046 
August,28034580.831178986,2916160649.4477243,0.0,17039737170.162926,0.0,0.0,16900053261.42882,57892476760.316605 
September,1124948413.2303455,1734126218.5885065,61889.463125638795,16299495779.137405,0.0,0.0,14264370546.363935,62146520051.95271 
October,4829033858.688888,542029185.427123,503957.251290487,16280630485.425734,0.0,0.0,13351003639.711008,82875691702.72879 
November,10889335353.104818,36127770.00127641,2569255.408013125,14724623226.275473,0.0,0.0,13007568389.007591,113626283363.42822 
December,16287832995.047295,30679937.083327483,6483917.475295138,13573017505.039042,0.0,0.0,13913695004.369785,154097369777.11115 
