Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17345332732.321102,54084662.03370298,0.0,17318701712.143055,0.0,0.0,174124860657.4726,5651951337102.276 
February,17196785760.648315,256022.47751599643,553649.3624008843,15362949719.742338,0.0,0.0,160904734746.3918,5592369518717.635 
March,12148558775.45158,158869113.4273242,0.0,17826768938.274727,0.0,0.0,162127701321.8486,4193419245471.372 
April,7030513401.294528,308353036.706915,965761.3801064366,18195813954.512295,0.0,0.0,146419210231.61023,2713514330199.319 
May,2541173298.706845,1283400163.0637178,627825.582710118,19981707918.514614,0.0,0.0,152243027177.4908,1348292064038.9756 
June,471031526.81002706,2526630905.8661036,0.0,20566934890.32276,0.0,0.0,168259376682.06335,532219747503.3427 
July,274032650.5466825,3847504269.375678,49211.697905813344,21652390202.68119,0.0,0.0,214654880616.0249,222290763374.376 
August,145209856.00408247,3863563302.496318,0.0,22188305744.591423,0.0,0.0,181007225344.28607,335405601526.6639 
September,1077727459.4130862,2481291533.4676495,0.0,21258803262.16905,0.0,0.0,151978217046.93793,955575922142.5518 
October,4066951287.494932,1167195228.0091925,1032194.3583059125,20956108907.91698,0.0,0.0,148260571857.5966,2088692487219.1926 
November,9356257385.210995,156267533.3787348,0.0,18908460521.088814,0.0,0.0,153388414904.83234,3528351405496.8765 
December,15469236062.018557,71095684.92923246,0.0,18122533252.162163,0.0,0.0,170601388184.8586,5181666169723.484 
