Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,19190967244.00876,10103650.332075758,7095391.490750502,14633334046.113005,0.0,0.0,15286462140.670113,159429646778.19525 
February,18919343528.185024,9621910.95856725,5963208.463672839,12899051353.50681,0.0,0.0,13728145780.369541,156013904232.11588 
March,13281332199.949213,78658139.22552224,2593396.644194227,14935355376.94732,0.0,0.0,14652072142.47693,126967969567.7787 
April,7420201223.839059,143424522.20322764,373877.6780980889,15236940518.079056,0.0,0.0,13831764506.14812,92589223235.90823 
May,2184355846.452398,851301447.582079,0.0,16433822912.336863,0.0,0.0,14926077399.072578,69307593434.15805 
June,154226244.5299916,1911925269.7839904,0.0,16997141126.180315,0.0,0.0,16383894869.955505,57971798705.36214 
July,1458725.6344505874,3462695915.566478,0.0,18529301175.568794,0.0,0.0,19880971277.334145,57683072926.63056 
August,6096098.25991798,2933052299.909553,0.0,18440119686.155273,0.0,0.0,18316825371.591473,57503153885.24276 
September,785675638.0818561,1901253797.3649113,0.0,17554774085.08926,0.0,0.0,15895493835.779472,59958974740.42984 
October,4102538597.476416,631762058.3781525,34558.298096400904,17683246476.207428,0.0,0.0,15064399703.71741,77390331684.0482 
November,10300416745.668127,50971900.70845402,822014.7698066408,16296597225.06052,0.0,0.0,14494223005.349735,105562241530.64928 
December,17110166529.243681,21988157.9836849,3384039.648874904,15394002542.72258,0.0,0.0,15285580897.467272,146729560655.86023 
