Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/05  08:00:00,,,5325035.6500713,35231738.720005296 
 01/05  09:00:00,,,54133392.10652719,100287396.62988208 
 01/05  10:00:00,,,63594146.590156525,100287396.62988208 
 01/05  11:00:00,,,63727258.58489425,101087244.62988208 
 01/05  12:00:00,,,63240203.96600477,101087244.62988208 
 01/05  13:00:00,,,63267796.88041768,101087244.62988208 
 01/05  14:00:00,,,62854850.534386255,100287396.62988208 
 01/05  15:00:00,,,64832167.132874504,100287396.62988208 
 01/05  16:00:00,,,66291870.05025627,99887472.62988208 
 01/05  17:00:00,,,72750476.13610296,99887472.62988208 
 01/05  18:00:00,,,98566205.37209103,40820021.28469339 
 01/05  19:00:00,,,107990888.14799999,40820021.28469339 
 01/05  20:00:00,,,107990888.14799999,40820021.28469339 
 01/05  21:00:00,,,102666076.0548758,40820021.28469339 
 01/05  22:00:00,,,7806126.757767913,35231738.720005296 
 01/05  23:00:00,,,5325035.6500713,35231738.720005296 
 01/05  24:00:00,,,5325035.6500713,35231738.720005296 
 01/06  01:00:00,,,5325035.6500713,35231738.720005296 
 01/06  02:00:00,,,5325035.6500713,35231738.720005296 
 01/06  03:00:00,,,5325035.6500713,35231738.720005296 
 01/06  04:00:00,,,5325035.6500713,35231738.720005296 
 01/06  05:00:00,,,5325035.6500713,35231738.720005296 
 01/06  06:00:00,,,5325035.6500713,35231738.720005296 
 01/06  07:00:00,,,5325035.6500713,35231738.720005296 
 01/06  08:00:00,,,5325035.6500713,35231738.720005296 
 01/06  09:00:00,,,53534089.99746953,100287396.62988208 
 01/06  10:00:00,,,63960503.76628928,100287396.62988208 
 01/06  11:00:00,,,63423319.84028749,101087244.62988208 
 01/06  12:00:00,,,62461953.55876818,101087244.62988208 
 01/06  13:00:00,,,62396489.53043999,101087244.62988208 
 01/06  14:00:00,,,62538357.96546445,100287396.62988208 
 01/06  15:00:00,,,64832418.516440704,100287396.62988208 
 01/06  16:00:00,,,66074941.95381291,99887472.62988208 
 01/06  17:00:00,,,70654343.01626672,99887472.62988208 
 01/06  18:00:00,,,103066405.23600022,40820021.28469339 
 01/06  19:00:00,,,107990888.14799999,40820021.28469339 
 01/06  20:00:00,,,107990888.14799999,40820021.28469339 
 01/06  21:00:00,,,102666076.0548758,40820021.28469339 
 01/06  22:00:00,,,7806126.757767913,35231738.720005296 
 01/06  23:00:00,,,5325035.6500713,35231738.720005296 
 01/06  24:00:00,,,5325035.6500713,35231738.720005296 
 01/07  01:00:00,,,5325035.6500713,35231738.720005296 
 01/07  02:00:00,,,5325035.6500713,35231738.720005296 
 01/07  03:00:00,,,5325035.6500713,35231738.720005296 
 01/07  04:00:00,,,5325035.6500713,35231738.720005296 
 01/07  05:00:00,,,5325035.6500713,35231738.720005296 
 01/07  06:00:00,,,5325035.6500713,35231738.720005296 
 01/07  07:00:00,,,5325035.6500713,35231738.720005296 
 01/07  08:00:00,,,5325035.6500713,35231738.720005296 
 01/07  09:00:00,,,5325035.6500713,35231738.720005296 
 01/07  10:00:00,,,5325035.6500713,35231738.720005296 
 01/07  11:00:00,,,5325035.6500713,35231738.720005296 
 01/07  12:00:00,,,5325035.6500713,35231738.720005296 
 01/07  13:00:00,,,5325035.6500713,35231738.720005296 
 01/07  14:00:00,,,5325035.6500713,35231738.720005296 
 01/07  15:00:00,,,5325035.6500713,35231738.720005296 
 01/07  16:00:00,,,5325035.6500713,35231738.720005296 
 01/07  17:00:00,,,5325035.6500713,35231738.720005296 
 01/07  18:00:00,,,5325035.6500713,35231738.720005296 
 01/07  19:00:00,,,5325035.6500713,35231738.720005296 
 01/07  20:00:00,,,5325035.6500713,35231738.720005296 
 01/07  21:00:00,,,5325035.6500713,35231738.720005296 
 01/07  22:00:00,,,5325035.6500713,35231738.720005296 
 01/07  23:00:00,,,5325035.6500713,35231738.720005296 
 01/07  24:00:00,,,5325035.6500713,35231738.720005296 
 01/08  01:00:00,,,5325035.6500713,35231738.720005296 
 01/08  02:00:00,,,5325035.6500713,35231738.720005296 
 01/08  03:00:00,,,5325035.6500713,35231738.720005296 
 01/08  04:00:00,,,5325035.6500713,35231738.720005296 
 01/08  05:00:00,,,5325035.6500713,35231738.720005296 
 01/08  06:00:00,,,5325035.6500713,35231738.720005296 
 01/08  07:00:00,,,5325035.6500713,35231738.720005296 
 01/08  08:00:00,,,5325035.6500713,35231738.720005296 
 01/08  09:00:00,,,5325035.6500713,35231738.720005296 
 01/08  10:00:00,,,5325035.6500713,35231738.720005296 
 01/08  11:00:00,,,5325035.6500713,35231738.720005296 
 01/08  12:00:00,,,5325035.6500713,35231738.720005296 
 01/08  13:00:00,,,5325035.6500713,35231738.720005296 
 01/08  14:00:00,,,5325035.6500713,35231738.720005296 
 01/08  15:00:00,,,5325035.6500713,35231738.720005296 
 01/08  16:00:00,,,5325035.6500713,35231738.720005296 
 01/08  17:00:00,,,5325035.6500713,35231738.720005296 
 01/08  18:00:00,,,5325035.6500713,35231738.720005296 
 01/08  19:00:00,,,5325035.6500713,35231738.720005296 
 01/08  20:00:00,,,5325035.6500713,35231738.720005296 
 01/08  21:00:00,,,5325035.6500713,35231738.720005296 
 01/08  22:00:00,,,5325035.6500713,35231738.720005296 
 01/08  23:00:00,,,5325035.6500713,35231738.720005296 
 01/08  24:00:00,,,5325035.6500713,35231738.720005296 
 01/09  01:00:00,,,5325035.6500713,35231738.720005296 
 01/09  02:00:00,,,5325035.6500713,35231738.720005296 
 01/09  03:00:00,,,5325035.6500713,35231738.720005296 
 01/09  04:00:00,,,5325035.6500713,35231738.720005296 
 01/09  05:00:00,,,5325035.6500713,35231738.720005296 
 01/09  06:00:00,,,5325035.6500713,35231738.720005296 
 01/09  07:00:00,,,5325035.6500713,35231738.720005296 
 01/09  08:00:00,,,5325035.6500713,35231738.720005296 
 01/09  09:00:00,,,53975992.4856725,100287396.62988208 
 01/09  10:00:00,,,63738626.63376735,100287396.62988208 
 01/09  11:00:00,,,63250951.73470481,101087244.62988208 
 01/09  12:00:00,,,62543863.94633108,101087244.62988208 
 01/09  13:00:00,,,64298243.45711707,101087244.62988208 
 01/09  14:00:00,,,63564435.54979347,100287396.62988208 
 01/09  15:00:00,,,65090924.23791252,100287396.62988208 
 01/09  16:00:00,,,67603878.6325801,99887472.62988208 
 01/09  17:00:00,,,71298423.81523791,99887472.62988208 
 01/09  18:00:00,,,97650050.00011788,40820021.28469339 
 01/09  19:00:00,,,107990888.14799999,40820021.28469339 
 01/09  20:00:00,,,107990888.14799999,40820021.28469339 
 01/09  21:00:00,,,102666076.0548758,40820021.28469339 
 01/09  22:00:00,,,7806126.757767913,35231738.720005296 
 01/09  23:00:00,,,5325035.6500713,35231738.720005296 
 01/09  24:00:00,,,5325035.6500713,35231738.720005296 
 01/10  01:00:00,,,5325035.6500713,35231738.720005296 
 01/10  02:00:00,,,5325035.6500713,35231738.720005296 
 01/10  03:00:00,,,5325035.6500713,35231738.720005296 
