Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16418937065.141296,1525042.8842859021,6519968.196786564,15510062645.886742,0.0,0.0,17236866443.497734,156206339547.6954 
February,15391096588.08042,1215755.1586194565,6115667.205386038,13436332167.595291,0.0,0.0,15475705695.74176,150305666210.8147 
March,12745266075.780897,77843883.02789345,1319263.0142989033,16067831928.849041,0.0,0.0,16525368686.858974,127896247904.66475 
April,7890847671.309616,158575195.17535177,134417.07204975674,16466788267.045757,0.0,0.0,15518027330.106552,94712008195.56406 
May,2464487095.900009,812995890.4524095,0.0,17552146100.30407,0.0,0.0,16301231462.950129,70287758357.7406 
June,196905288.98126847,1717671049.9051678,0.0,17917759076.395744,0.0,0.0,17197550928.372673,58075353756.33292 
July,2487753.0431311782,2886113106.9713964,0.0,19428334628.924534,0.0,0.0,20188721711.518322,57630707614.82094 
August,8180888.3717359295,2613301984.2944174,0.0,19304062449.930065,0.0,0.0,18890102789.811832,57498097281.49883 
September,935418999.0051349,1798594570.5688505,0.0,18603035616.67741,0.0,0.0,16964833468.930832,60429358879.292786 
October,4569214324.406071,617957955.6888145,0.0,18905734886.176174,0.0,0.0,16649869620.810375,78979824644.58505 
November,10500624541.061045,46442935.635513015,223777.88511027966,17466888997.98658,0.0,0.0,16272435113.474014,107479246001.908 
December,15256940094.641493,12708963.377514724,2538789.9207766326,16315768196.349972,0.0,0.0,17215044916.43314,144827093417.96332 
