Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,516541863.12885857,2578912205.678064,0.0,20980286633.118813,0.0,0.0,25999214231.681835,63889604444.06268 
February,202984018.9874097,2523053680.5671825,0.0,18895403637.96819,0.0,0.0,23843197519.42462,56686285863.5545 
March,169678157.4489651,2456707912.5391045,0.0,20687126494.529858,0.0,0.0,26979608768.951694,62339845443.017395 
April,8124004.636428175,3682627002.3822803,0.0,20446591767.028503,0.0,0.0,29514759260.81388,58412116708.2005 
May,756470.3185504173,4392740140.295598,0.0,21355013226.07376,0.0,0.0,36145043179.48563,59284057553.5738 
June,5819450.069987653,5822202975.700845,0.0,21310737461.8956,0.0,0.0,38072242734.08743,56432652068.11867 
July,1768920.3157307934,6994442979.531734,0.0,22261414409.938778,0.0,0.0,43082281681.03415,57527420223.86946 
August,3547375.751637733,7441762378.468418,0.0,22821297164.38972,0.0,0.0,42887892107.0654,57298461109.942215 
September,3488724.0167564503,6720475555.548091,0.0,22189051486.167694,0.0,0.0,40393600497.255135,55665093651.56086 
October,3110362.8962009493,5935647094.723912,0.0,22934866024.379578,0.0,0.0,36707580122.90269,58250184882.57553 
November,504413.78023545333,4359513368.449305,0.0,21665211699.58596,0.0,0.0,29558587414.00493,57390016519.24813 
December,23347873.647117767,2892927349.102591,0.0,21419773704.666447,0.0,0.0,25649192923.016468,60896897425.46776 
