Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 02/22  11:00:00,,,47964427.05984504,16175950.591785753,47964427.05984503,28298384.741083413 
 02/22  12:00:00,,,61100472.98963494,20165051.504239477,61100472.98963494,37182345.196722336 
 02/22  13:00:00,,,58863762.34345849,16275904.838794136,58863762.34345849,38517230.31849942 
 02/22  14:00:00,,,60616894.14560762,16075996.34477737,60616894.145607635,41042365.771579154 
 02/22  15:00:00,,,58786819.51999517,15876087.850760601,58786819.51999516,39399296.64610054 
 02/22  16:00:00,,,54832836.48479068,15876087.850760601,54832836.48479068,35456957.20305442 
 02/22  17:00:00,,,52869859.66362104,16175950.591785753,52869859.66362104,33310898.73340299 
 02/22  18:00:00,,,49667088.65364381,16175950.591785753,49667088.6536438,30108114.453594793 
 02/22  19:00:00,,,52261685.01719223,17543239.3801163,52261685.01719223,27220431.746261366 
 02/22  20:00:00,,,50855122.93636932,17611997.415621314,50855122.93636932,24520315.54274096 
 02/22  21:00:00,,,50367755.131078936,17412088.921604548,50367755.13107893,24263494.02149987 
 02/22  22:00:00,,,48306469.97294189,17212180.42758778,48306469.97294188,22636930.580891334 
 02/22  23:00:00,,,42157793.216193154,14084177.858593762,42157793.21619315,19941263.825324684 
 02/22  24:00:00,,,43805260.624779,16059483.37501275,43805260.624779,19155752.826783627 
 02/23  01:00:00,,,35494181.98083722,11581534.379161809,35494181.98083722,17450380.07265167 
 02/23  02:00:00,,,34655567.62685762,10976868.122852663,34655567.62685762,18405681.620397173 
 02/23  03:00:00,,,31168770.15062605,10975649.216364183,31168770.150626037,14928982.836892596 
 02/23  04:00:00,,,33213307.16345695,10876079.555416983,33213307.16345695,17009240.510772344 
 02/23  05:00:00,,,30498151.13999906,11174788.538258582,30498151.139999054,13650794.138057182 
 02/23  06:00:00,,,35093811.675075926,12568339.774420526,35093811.675075926,16839477.316267177 
 02/23  07:00:00,,,39172809.037109435,13926891.260147657,39172809.037109435,17569672.65195579 
 02/23  08:00:00,,,35971383.01232361,13409539.084762583,35971383.0123236,19116924.269443065 
 02/23  09:00:00,,,43015914.509250976,14316938.495239781,43015914.509250976,25230529.85285098 
 02/23  10:00:00,,,48194652.27530689,14616801.236264933,48194652.27530688,30091720.720682487 
 02/23  11:00:00,,,53306334.37905351,16175950.591785753,53306334.3790535,33635243.79733161 
 02/23  12:00:00,,,64914888.524656944,20165051.504239477,64914888.524656944,40970038.89814788 
 02/23  13:00:00,,,62832759.50383791,16275904.838794136,62832759.50383791,42451815.96179042 
 02/23  14:00:00,,,62059884.641056284,16075996.34477737,62059884.641056284,42467882.330550306 
 02/23  15:00:00,,,59443878.96159343,15876087.850760601,59443878.96159344,40044136.51187464 
 02/23  16:00:00,,,54140810.4532593,15876087.850760601,54140810.45325929,34761041.92405235 
 02/23  17:00:00,,,52459302.467246234,16175950.591785753,52459302.467246234,32899491.625134297 
 02/23  18:00:00,,,50161201.70674549,16327861.791078407,50161201.70674549,30446731.19393462 
 02/23  19:00:00,,,52537483.6473414,17692560.80937391,52537483.6473414,27344315.94834224 
 02/23  20:00:00,,,52961962.917554244,17611997.415621314,52961962.917554244,26623267.74030943 
 02/23  21:00:00,,,53164711.605937555,17412088.921604548,53164711.605937555,27054254.715549473 
 02/23  22:00:00,,,49921982.55064556,17212180.42758778,49921982.55064556,24247347.172728885 
 02/23  23:00:00,,,41378471.11058096,14084177.858593762,41378471.11058095,19156119.831806142 
 02/23  24:00:00,,,42379369.93392869,16059483.37501275,42379369.93392868,17726781.792777997 
 02/24  01:00:00,,,33229716.648783654,11581534.379161809,33229716.648783647,15184428.808384536 
 02/24  02:00:00,,,32645162.858638894,10976868.122852663,32645162.85863889,16391662.839736287 
 02/24  03:00:00,,,28966733.0048947,10975649.216364183,28966733.0048947,12713023.437596276 
 02/24  04:00:00,,,34577957.5072512,10876079.555416983,34577957.507251196,18378047.581835706 
 02/24  05:00:00,,,37027658.118516095,11174788.538258582,37027658.118516095,18556270.697626114 
 02/24  06:00:00,,,38801371.751881324,12568339.774420526,38801371.751881324,19191063.00035998 
 02/24  07:00:00,,,39593510.62780609,13926891.260147657,39593510.62780608,17344383.80637341 
 02/24  08:00:00,,,34332712.359052375,13449304.883460462,34332712.359052375,17438875.62180138 
 02/24  09:00:00,,,40543719.487794705,14316938.495239781,40543719.4877947,22759412.54958966 
 02/24  10:00:00,,,42533111.08422644,14616801.236264933,42533111.08422644,24435025.64700408 
 02/24  11:00:00,,,46749252.904893085,16175950.591785753,46749252.90489308,27087347.880949832 
 02/24  12:00:00,,,61073974.39589691,20165051.504239477,61073974.39589692,37161795.599844754 
 02/24  13:00:00,,,58181309.321328916,16275904.838794136,58181309.321328916,37842140.726457484 
 02/24  14:00:00,,,57230188.42581113,16075996.34477737,57230188.42581113,37662694.29091575 
