tag,building,climate,source,format,model,seed,round_trip_ok,energyplus_ok,duration_s
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,506.7
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,508.3
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,477.5
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,488.8
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,494.1
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,529.4
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,525.0
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,570.5
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,559.7
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,537.4
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,134.8
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,131.5
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,133.0
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,133.9
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,136.0
OfficeMedium_1A_F4_gpt-oss-120b_seed1542799867,OfficeMedium,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,142.0
OfficeMedium_1A_F4_gpt-oss-120b_seed1542799868,OfficeMedium,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,149.9
OfficeMedium_1A_F4_gpt-oss-120b_seed1542799869,OfficeMedium,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,147.1
OfficeMedium_1A_F4_gpt-oss-120b_seed1542799870,OfficeMedium,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,134.3
RestaurantFastFood_1A_F4_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,74.1
OfficeMedium_1A_F4_gpt-oss-120b_seed1542799871,OfficeMedium,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,147.2
RestaurantFastFood_1A_F4_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,82.9
