tag,building,climate,source,format,model,seed,round_trip_ok,energyplus_ok,duration_s
RetailStripmall_7_F4_llama-3.3-70b-versatile_seed1542799869,RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,115.3
RetailStripmall_7_F4_llama-3.3-70b-versatile_seed1542799870,RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,114.4
RetailStripmall_7_F4_llama-3.3-70b-versatile_seed1542799871,RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,113.2
RetailStripmall_7_F4_gpt-oss-120b_seed1542799867,RetailStripmall,7,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,105.9
RetailStripmall_7_F4_gpt-oss-120b_seed1542799868,RetailStripmall,7,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,99.7
RetailStripmall_7_F4_gpt-oss-120b_seed1542799869,RetailStripmall,7,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,101.1
RetailStripmall_7_F4_gpt-oss-120b_seed1542799870,RetailStripmall,7,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,94.6
RetailStripmall_7_F4_gpt-oss-120b_seed1542799871,RetailStripmall,7,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,98.4
SchoolPrimary_7_F4_llama-3.3-70b-versatile_seed1542799867,SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,473.3
SchoolPrimary_7_F4_llama-3.3-70b-versatile_seed1542799868,SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,503.3
SchoolPrimary_7_F4_llama-3.3-70b-versatile_seed1542799869,SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,486.1
SchoolPrimary_7_F4_llama-3.3-70b-versatile_seed1542799870,SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,590.7
SchoolPrimary_7_F4_llama-3.3-70b-versatile_seed1542799871,SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,491.7
SchoolPrimary_7_F4_gpt-oss-120b_seed1542799867,SchoolPrimary,7,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,415.5
SchoolPrimary_7_F4_gpt-oss-120b_seed1542799868,SchoolPrimary,7,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,417.3
SchoolPrimary_7_F4_gpt-oss-120b_seed1542799869,SchoolPrimary,7,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,399.8
SchoolPrimary_7_F4_gpt-oss-120b_seed1542799870,SchoolPrimary,7,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,412.5
SchoolPrimary_7_F4_gpt-oss-120b_seed1542799871,SchoolPrimary,7,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,403.8
OfficeMedium_7_lobo_median_loo,OfficeMedium,7,lobo_median_loo,,,,True,True,156.2
OfficeMedium_7_global_constant,OfficeMedium,7,global_constant,,,,True,True,158.0
SchoolPrimary_7_lobo_median_loo,SchoolPrimary,7,lobo_median_loo,,,,True,True,671.2
SchoolPrimary_7_global_constant,SchoolPrimary,7,global_constant,,,,True,True,701.0
RetailStripmall_7_lobo_median_loo,RetailStripmall,7,lobo_median_loo,,,,True,True,117.2
RetailStripmall_7_global_constant,RetailStripmall,7,global_constant,,,,True,True,112.7
ApartmentMidRise_7_lobo_median_loo,ApartmentMidRise,7,lobo_median_loo,,,,True,True,708.0
RestaurantFastFood_7_lobo_median_loo,RestaurantFastFood,7,lobo_median_loo,,,,True,True,83.8
ApartmentMidRise_7_global_constant,ApartmentMidRise,7,global_constant,,,,True,True,717.2
RestaurantFastFood_7_global_constant,RestaurantFastFood,7,global_constant,,,,True,True,51.5
