Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17003067593.706812,10564775.213073103,6544073.069361847,20509258357.018723,0.0,0.0,23038403139.53423,174120316551.56247 
February,16785152629.83612,7339577.184036605,8134665.967149655,18213391438.492767,0.0,0.0,20714329505.521427,170785773685.47263 
March,11401237104.830936,215966330.675983,2676599.437014975,20866545441.387753,0.0,0.0,22344656128.878925,136957192841.09695 
April,6184780166.460966,419185186.9114124,942342.8870121548,21020008337.349068,0.0,0.0,21381831185.819546,98462734392.64261 
May,1733850915.001872,1765131028.7044501,0.0,22464130946.128166,0.0,0.0,24247574663.475494,71832907301.1432 
June,144559716.4962035,3422324672.9074483,0.0,22920352238.941174,0.0,0.0,28434607798.613087,58856206270.507286 
July,7377777.999996323,5589259084.030624,0.0,24580916755.4122,0.0,0.0,35972996022.78236,57860803129.42692 
August,10009517.87464043,4924847224.904237,0.0,24605436490.293888,0.0,0.0,32659697846.020912,57814585607.68167 
September,665874916.6858932,3140314433.940343,0.0,23390157687.942726,0.0,0.0,26878517089.181362,61573492028.59055 
October,3424608236.7156534,1341432603.8800957,0.0,23584705048.857563,0.0,0.0,23682681571.340897,81605115126.1014 
November,8953184624.953096,172427529.17112646,1036553.5931378906,22002160258.249233,0.0,0.0,22021338940.335285,113905243347.3815 
December,15212217510.376925,71676279.39369702,5305740.247022444,21279034568.607254,0.0,0.0,23040126905.35218,160139295034.115 
