Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,15914882241.601456,277933785.1032717,6020874.422743004,16839439862.742044,0.0,0.0,19725485966.820873,161806753534.33722 
February,15172541251.199848,218099946.8471385,7478488.381924903,14715652447.301283,0.0,0.0,17712784301.93234,155851399426.71445 
March,12023697482.747597,192246072.74162138,2034574.676380124,17358987531.972214,0.0,0.0,18895481890.725876,132164050891.90051 
April,7234199277.112155,176293848.1680915,1335555.663310426,17699934960.239464,0.0,0.0,17791614287.78018,97523742802.27525 
May,2367863208.218718,1000806054.5681715,105064.67238494712,19184126677.886463,0.0,0.0,19755577222.46967,72080992934.72696 
June,277130341.49473214,2261250412.223064,0.0,19652318565.938007,0.0,0.0,22888476257.535427,59126245210.36039 
July,16112421.842958428,4092241923.6169047,0.0,21208805044.27465,0.0,0.0,28942008290.338062,57918323543.70822 
August,27401413.566766247,3491235633.078591,0.0,21200640962.460808,0.0,0.0,26189529767.40176,57958088224.50158 
September,912352371.1072462,2117137116.4039567,0.0,20180431799.654175,0.0,0.0,21751978533.595833,61718723632.615776 
October,4025728749.1266007,792569059.2225947,3902.3321432350454,20321670595.645905,0.0,0.0,19546377858.018833,80412349893.25264 
November,9409645570.797094,138548477.35229447,712165.9863570592,18707564595.633656,0.0,0.0,18565389859.907616,109474328193.3434 
December,14455149527.458637,212337095.91568986,3977355.934146804,17674589577.243168,0.0,0.0,19678987777.017387,149851099560.4372 
