Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/03  20:00:00,,,34351750.68805396,18933556.02529292,34351750.68805395,7486471.952910288 
 01/03  21:00:00,,,34171603.97284712,18766451.131941393,34171603.972847104,7473669.421225767 
 01/03  22:00:00,,,33919486.34522556,18599346.238589868,33919486.34522555,7509035.653147066 
 01/03  23:00:00,,,29463174.549378633,14141476.56222611,29463174.54937863,7543383.802818902 
 01/03  24:00:00,,,31289337.573799074,15476451.225459158,31289337.573799066,7557344.108431966 
 01/04  01:00:00,,,23706357.740070816,10444435.60388608,23706357.740070812,7177656.501449822 
 01/04  02:00:00,,,17745087.95144933,9394575.175631016,17745087.951449335,3257165.448023067 
 01/04  03:00:00,,,17711027.504174415,9284673.139101181,17711027.504174415,3266041.303589681 
 01/04  04:00:00,,,18153588.1356143,9201442.170574982,18153588.135614302,3807241.498430184 
 01/04  05:00:00,,,18752295.989740573,9451135.076153582,18752295.98974057,3726587.5857970268 
 01/04  06:00:00,,,24135168.859516162,11345193.523640286,24135168.859516162,7500051.931329094 
 01/04  07:00:00,,,29451105.43855191,13549211.934858698,29451105.438551903,7781819.201976551 
 01/04  08:00:00,,,28498209.873410124,13517686.74162285,28498209.873410124,7807654.944348073 
 01/04  09:00:00,,,24562950.21725525,13731897.1114042,24562950.217255242,7759246.121212069 
 01/04  10:00:00,,,24725245.813720882,13982554.451431494,24725245.81372088,7654898.077421482 
 01/04  11:00:00,,,26681399.940358806,16135783.192941498,26681399.940358803,7449379.720711592 
 01/04  12:00:00,,,30824682.695369177,20075678.704397365,30824682.695369173,7338523.795421871 
 01/04  13:00:00,,,27201066.08815179,16219335.639617264,27201066.088151786,7349167.316774238 
 01/04  14:00:00,,,26455122.716325603,16052230.746265737,26455122.716325603,7290560.426584754 
 01/04  15:00:00,,,26301828.476352856,15885125.852914209,26301828.47635285,7284231.957024463 
 01/04  16:00:00,,,26156974.289318413,15885125.852914209,26156974.289318413,7158675.104673748 
 01/04  17:00:00,,,29819256.26364927,17765159.046064075,29819256.263649262,7410933.2209564755 
 01/04  18:00:00,,,34635941.421063446,19267765.81199598,34635941.421063446,7432201.104186786 
 01/04  19:00:00,,,34485186.35271971,19100660.91864445,34485186.35271971,7452732.61367452 
 01/04  20:00:00,,,34707313.184034534,18933556.02529292,34707313.184034534,7460455.722455072 
