Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17605632994.11203,116999402.06484358,7659858.967001119,20151642340.32252,0.0,0.0,22273585874.770206,174122163670.99963 
February,17446894392.631382,218011525.74727294,8169984.890856807,17841420406.328854,0.0,0.0,20053157000.252174,170133010394.71478 
March,11854290880.230022,194555741.21733147,5631712.638387324,20530492154.70142,0.0,0.0,21390938637.045467,137131599680.09373 
April,6347358900.17383,352713696.8986671,1248183.2660119976,20739102527.75816,0.0,0.0,20256192402.293762,97844216940.72128 
May,1720963048.8621867,1740583715.540196,0.0,22213156837.48878,0.0,0.0,22851797420.143738,71534145795.06349 
June,128534524.75156765,3567397631.4602714,0.0,22619936250.335632,0.0,0.0,26891164307.941742,58736262567.00824 
July,4077386.759116846,5899282942.627884,0.0,24210130216.354248,0.0,0.0,34195101328.67577,57860553490.09908 
August,7236915.973325789,5110620159.149906,0.0,24288850871.049942,0.0,0.0,30927627719.629982,57755847477.01359 
September,625787629.774715,3180784841.3917284,0.0,23104974840.662617,0.0,0.0,25317559317.712337,61165118146.46261 
October,3384203591.787308,1242950649.1638582,0.0,23333690398.27313,0.0,0.0,22379099328.025578,80851132239.62206 
November,9053855315.219091,135052281.15482414,1099395.4583982695,21685139633.437634,0.0,0.0,21022828566.504242,112982436774.25287 
December,15634999708.16431,135319637.90836552,6429237.938939533,20934211888.965164,0.0,0.0,22198764521.49761,159273920814.2889 
