Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16393571599.472052,93390.77857954378,6400630724.53316,236986.97308990455,6594151947.703751,238284.87270123523,6615632341.303005,229904.89116325194,6761508586.00599,125042.56830586214,12590594417.204138,152035.71224968106,6623390489.733599,75704.49115400077,6632707741.074759,70508.81395552788,7061539293.321477,0.0,11306313972.247381,0.0,37964607213.38819,276508871255.51184 
February,15572699480.89241,104262.27389025934,6150757769.242502,21910.39064804023,6267947336.121866,19827.421986977643,6271634100.319426,20042.74413742016,6430550407.140222,28304.442654454106,11903208453.884918,0.0,6274962866.935322,0.0,6286849674.321271,0.0,6692170746.247326,0.0,10728885095.013134,37075.299474045365,33972197226.157158,268342512574.63647 
March,10804722258.52609,238132725.737435,4010143865.509407,146088837.53439957,4166828016.1231976,128267270.5769904,4171906905.6745915,127640853.28130397,4270022230.5560465,120935610.20221445,7922679344.055948,263403683.79384884,4188079026.0278378,135200428.54503545,4188646645.300077,127711090.48925331,4542043120.654107,111985354.68994999,7881496702.526239,79948083.16005413,35781520002.70384,194595511018.6794 
April,5759881789.125327,495168628.2049813,1991939360.7184298,228198008.60041943,2187580442.9537497,203397290.3974556,2205109121.2055106,200303873.13943356,2245914153.525321,181194215.60556996,4148809926.653049,417957459.1049191,2219962997.868642,218347759.35497537,2224545043.795197,207248794.2821459,2380984508.92725,170548169.68879578,4541415677.423354,101603471.71147324,32426272810.248013,114718724822.96347 
May,1704053963.0060039,2133840175.300876,447171532.3143507,972310059.3174577,519470843.73584586,929295124.6934459,532922809.6589061,910916564.8805326,585727955.9761195,875027729.1229908,1052641900.8402476,1768052887.684377,552860792.5594964,910551146.0706371,557541339.3315941,889733909.9522835,692804672.9397802,808070302.3190311,1621443662.4218998,701866800.6860172,33300766708.416306,34314845803.912495 
June,76105330.7666751,4217698381.269818,21438162.684807125,1942105755.9911633,22046768.594110962,1839000776.4085643,22240203.048722643,1826081873.1627939,23299626.2494596,1791324897.0224543,38871532.149799764,3433707373.564914,21745216.616449524,1783718325.98586,22282534.4547547,1737234152.909612,26168332.878397338,1597660563.550733,99157991.46560389,1533834676.3533707,36254598069.366684,1195768798.8021312 
July,27519123.710919414,6426594286.310482,10356182.3340141,3175314611.947003,10133250.65849478,2788888026.481562,10144112.594856957,2778694062.10255,11140135.08383562,2706993731.921346,15979809.715648875,5334484340.75018,8461560.746115483,2773707031.2080746,9154204.994902056,2731895072.047164,11908345.283483408,2574823171.3860564,20559658.65802175,2676689960.9671516,46648048626.23186,0.0 
August,38364830.71925113,5891717467.285753,15406646.881360833,2803022133.1789293,14428933.571762128,2553792447.249515,14561041.213786459,2542748384.009091,15495361.373387938,2490415664.881569,25508227.793169264,4848309409.035477,13877289.952395465,2524848696.359405,14626244.555194022,2480285412.0894837,17992429.111149196,2346110984.2669487,24944556.677493993,2447176568.294322,42421291393.99298,1796895.3090658702 
September,388920640.0149565,4302536994.566419,84717010.9171767,1899161724.5324032,113875653.27997774,1782829899.907547,123867629.8988839,1767845061.057032,137643560.7305776,1724815032.4026985,215587789.52656683,3344776584.3466105,119980985.46754469,1738120159.7657156,121510289.66428182,1710391754.455416,154400814.42161906,1613543010.191578,403073109.4917739,1601256060.2349722,35776574437.85861,13067737244.47263 
October,2436408523.5699058,1685754089.2584639,792542837.4518218,730393277.0260104,942634567.6393021,676646889.5204816,975246533.2409006,658209812.8449697,1036734603.3652952,627715935.7480116,1852181006.7290797,1271037059.7248368,981386400.2821252,656030415.9102597,997773934.1490275,643154257.4538028,1115371966.1368954,586763967.2705987,2095069724.9084752,512714668.22530586,34437131502.1058,67362628723.91033 
