Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17473303277.8322,8896181.501069395,2520063.173679674,19951784201.428425,0.0,0.0,21063718984.429203,164822954790.44513 
February,17453069804.38584,84624177.25401977,2919517.198067512,17702159117.816418,0.0,0.0,18974066737.493385,162007215335.44278 
March,11663791543.951584,158542946.36023065,2295859.464789343,20274713165.658726,0.0,0.0,20253026689.450516,129134094779.22276 
April,6053562005.604454,346873903.0587934,1572933.593509072,20359298709.814198,0.0,0.0,19180867065.504684,92643946365.875 
May,1453785546.4004438,1660550898.4741437,0.0,21719407249.75441,0.0,0.0,21134832127.44959,68751146581.91403 
June,56384899.32425746,3329982349.4661508,0.0,22130428794.944916,0.0,0.0,23933342055.006878,57851890473.66922 
July,83140.2963008016,5400533717.076724,0.0,23776399370.68742,0.0,0.0,29472998356.88039,57698541535.52217 
August,2309218.498955423,4663964238.29012,0.0,23791962158.817875,0.0,0.0,27054916692.702198,57480892824.00316 
September,475172663.9025693,3087381428.639096,0.0,22626202407.33957,0.0,0.0,22894869671.774418,59586270808.19157 
October,3060028394.2479463,1209651167.4355347,536051.3387324822,22946804780.901115,0.0,0.0,20939407154.89517,76848110192.94043 
November,8769599008.397554,132684735.76805066,2297110.7953188643,21445444949.332565,0.0,0.0,19898084594.45474,106176204168.64505 
December,15440877678.448517,55924384.689356916,2933735.8681289162,20704652347.42828,0.0,0.0,21015561979.621895,150869343330.7821 
