Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/03  20:00:00,,,32110968.50227062,15344131.902765805,32110968.50227062,8918600.860696916 
 01/03  21:00:00,,,31963675.490587633,15185381.46294042,31963675.49058763,8930191.652166218 
 01/03  22:00:00,,,31758983.241827838,15026631.023115035,31758983.24182783,8999870.220736058 
 01/03  23:00:00,,,28764695.114230163,11974947.452393651,28764695.114230156,9088526.874659829 
 01/03  24:00:00,,,31346916.609532345,14019281.008592492,31346916.609532334,9144225.896381307 
 01/04  01:00:00,,,24224318.148600705,9500496.655308142,24224318.148600705,8723870.669212662 
 01/04  02:00:00,,,16681911.527302127,8882538.32216103,16681911.527302127,2840010.579403879 
 01/04  03:00:00,,,16264254.35992169,8854013.675968384,16264254.35992169,2409705.946160867 
 01/04  04:00:00,,,16793232.72178832,8774943.861819783,16793232.72178832,3011792.1628747676 
 01/04  05:00:00,,,16862892.670631222,9012153.304265583,16862892.670631222,2409705.9461608664 
 01/04  06:00:00,,,24597726.057548378,10306628.49383028,24597726.057548378,9081077.466901362 
 01/04  07:00:00,,,29155584.169205826,11708121.68416763,29155584.169205822,9409505.246115062 
 01/04  08:00:00,,,29288000.487069275,11866872.123993013,29288000.48706927,9507307.25380026 
 01/04  09:00:00,,,25724298.28595851,12436067.133786594,25724298.285958506,9475866.153131101 
 01/04  10:00:00,,,24697321.783436127,12224160.776821954,24697321.783436127,9468562.68586851 
 01/04  11:00:00,,,26204212.816026635,13730243.500666313,26204212.816026635,9461344.254082002 
 01/04  12:00:00,,,30274410.668637156,17657607.33183296,30274410.668637156,9281706.859685985 
 01/04  13:00:00,,,26615566.328034658,13809618.720579004,26615566.328034654,9276569.432733636 
 01/04  14:00:00,,,25891084.997339197,13650868.28075362,25891084.997339197,9211938.158855993 
 01/04  15:00:00,,,25750259.177537255,13492117.840928236,25750259.177537255,9213567.430764867 
 01/04  16:00:00,,,25819855.846082777,13492117.840928236,25819855.846082773,9299294.409911584 
 01/04  17:00:00,,,30676519.066199142,15162511.077174142,30676519.066199142,9311948.450817168 
 01/04  18:00:00,,,32844981.455802426,15661632.782416573,32844981.455802426,9334430.809809022 
 01/04  19:00:00,,,32716591.727040492,15502882.342591189,32716591.72704049,9365329.838185607 
 01/04  20:00:00,,,32965020.004068922,15344131.902765805,32965020.00406892,9398105.717332575 
 01/04  21:00:00,,,32769996.84077999,15185381.46294042,32769996.840779983,9386015.504814334 
 01/04  22:00:00,,,32472563.504188154,15026631.023115035,32472563.50418815,9443643.97943295 
 01/04  23:00:00,,,29214854.79644352,11974947.452393651,29214854.796443515,9538924.806584226 
 01/04  24:00:00,,,31794638.37069045,14019281.008592492,31794638.370690446,9591947.657539418 
 01/05  01:00:00,,,25072789.47980028,9500496.655308142,25072789.47980028,9572167.62402507 
 01/05  02:00:00,,,16767559.03811051,8882538.32216103,16767559.038110511,2951889.7840470616 
 01/05  03:00:00,,,16250496.835428845,8854013.675968384,16250496.835428845,2409705.946160867 
 01/05  04:00:00,,,16791816.314986736,8774943.861819783,16791816.314986736,3012132.432701084 
 01/05  05:00:00,,,16861833.062876046,9012153.304265583,16861833.062876046,2409705.9461608664 
 01/05  06:00:00,,,25057807.62575876,10306628.49383028,25057807.62575876,9541523.111250572 
 01/05  07:00:00,,,29500468.764928892,11708121.68416763,29500468.76492889,9754360.883522443 
 01/05  08:00:00,,,29499537.75453157,11866872.123993013,29499537.75453157,9718956.052380273 
 01/05  09:00:00,,,25984025.351037264,12460519.374434533,25984025.35103726,9711092.280787837 
 01/05  10:00:00,,,24894365.216740713,12224160.776821954,24894365.216740713,9665549.798034746 
 01/05  11:00:00,,,26319169.511605766,13730243.500666313,26319169.511605766,9576328.474000461 
 01/05  12:00:00,,,30310542.40429114,17657607.33183296,30310542.40429114,9317751.543590114 
 01/05  13:00:00,,,26603221.948792487,13809618.720579004,26603221.948792484,9263884.122832105 
 01/05  14:00:00,,,25842705.568525504,13650868.28075362,25842705.568525504,9163140.800415682 
 01/05  15:00:00,,,25662843.280561544,13492117.840928236,25662843.28056154,9124855.102144562 
 01/05  16:00:00,,,25758420.222627394,13492117.840928236,25758420.222627386,9238022.014844265 
 01/05  17:00:00,,,30728971.33862061,15227636.350041185,30728971.33862061,9299199.853885166 
 01/05  18:00:00,,,32846811.194727484,15661632.782416573,32846811.19472748,9336115.74575775 
 01/05  19:00:00,,,32717639.706722032,15502882.342591189,32717639.70672202,9366291.677965423 
 01/05  20:00:00,,,32948549.816065535,15344131.902765805,32948549.816065535,9381518.225970829 
 01/05  21:00:00,,,32757639.16931043,15185381.46294042,32757639.169310424,9373618.639738176 
 01/05  22:00:00,,,32514450.62205934,15026631.023115035,32514450.622059338,9485532.385040803 
 01/05  23:00:00,,,29266130.226804554,11974947.452393651,29266130.22680455,9590177.757775526 
 01/05  24:00:00,,,31873917.393442493,14019281.008592492,31873917.393442478,9671226.680291455 
 01/06  01:00:00,,,25249075.80117398,9500496.655308142,25249075.801173985,9748660.090529742 
 01/06  02:00:00,,,16790140.67512115,8882538.32216103,16790140.675121147,2951889.7840470616 
 01/06  03:00:00,,,16277678.472419422,8854013.675968384,16277678.472419422,2409705.946160867 
 01/06  04:00:00,,,16845085.708530843,8774943.861819783,16845085.70853084,3012132.432701083 
 01/06  05:00:00,,,19784309.24226455,9012153.304265583,19784309.24226455,3641920.0326340944 
 01/06  06:00:00,,,26440296.63301993,10306628.49383028,26440296.633019924,9679619.80864135 
 01/06  07:00:00,,,30183916.853682294,11708121.68416763,30183916.853682287,9837777.716227 
 01/06  08:00:00,,,29643500.7260293,11866872.123993013,29643500.72602929,9863051.236592367 
