Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,28260623791.306095,619604198.0749266,13326147.865112465,15456427070.468987,0.0,0.0,19008015483.117764,246873267127.84732 
February,20988699656.21405,357441061.6619556,9060379.039660007,14693565624.884905,0.0,0.0,16609909539.303558,192595752755.17865 
March,17502243951.818935,120291025.9787148,4154862.2591085937,17186008360.626812,0.0,0.0,17615926243.976967,170141018258.3832 
April,9255244257.711733,164708965.5158793,2672676.821493943,17752914145.40493,0.0,0.0,16235169364.395908,115169102284.65044 
May,2871663265.4674726,938756992.6547327,1229505.614805622,19041036801.502964,0.0,0.0,16862720255.831608,76688908916.96394 
June,340548137.8001853,2168152885.791694,0.0,19410528441.806076,0.0,0.0,17685302882.050613,60291292770.86289 
July,170629521.57064873,3709524125.925419,0.0,20779678496.556137,0.0,0.0,21348585268.197895,59367230815.41337 
August,199770648.94225544,3499516004.953622,0.0,21075193352.97556,0.0,0.0,20930435033.233315,60297099652.26378 
September,2084133254.9872267,1327746377.5099132,480436.6343785562,20048666191.178474,0.0,0.0,17351247942.311226,70091319907.20374 
October,7393585686.430336,348853262.13434684,2416675.588964022,20195664421.982162,0.0,0.0,17258169380.599033,101360393302.0094 
November,14858210364.518944,18207613.877003517,4460085.384861243,18063843178.89943,0.0,0.0,17355121504.600086,143474424360.93774 
December,24926569801.962967,316203694.3066052,4810800.413474556,16690887787.021067,0.0,0.0,18816912082.557693,216533164935.0683 
