Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/05  09:00:00,,,232417285.4732484,232417285.4732485 
 01/05  10:00:00,,,226873592.4026894,226873592.40268946 
 01/05  11:00:00,,,300094517.241171,300094517.2411711 
 01/05  12:00:00,,,272813395.0881471,272813395.08814716 
 01/05  13:00:00,,,262889290.22822756,262889290.22822767 
 01/05  14:00:00,,,255788682.6797843,255788682.67978445 
 01/05  15:00:00,,,245183120.51088148,245183120.51088157 
 01/05  16:00:00,,,263742359.93981558,263742359.93981564 
 01/05  17:00:00,,,291373964.4432923,291373964.4432925 
 01/05  18:00:00,,,293186755.282883,293186755.28288305 
 01/05  19:00:00,,,307587850.53384036,307587850.5338404 
 01/05  20:00:00,,,302035821.675213,302035821.6752131 
 01/05  21:00:00,,,292622458.9359025,292622458.93590266 
 01/05  22:00:00,,,257409416.0879049,257409416.087905 
 01/05  23:00:00,,,259438285.7588396,259438285.75883973 
 01/05  24:00:00,,,222737591.54052508,222737591.54052514 
 01/06  01:00:00,,,172985430.6201226,172985430.6201226 
 01/06  02:00:00,,,157634284.345105,157634284.34510493 
 01/06  03:00:00,,,149537103.1390682,149537103.13906816 
 01/06  04:00:00,,,144289786.2124447,144289786.21244466 
 01/06  05:00:00,,,152977905.08747002,152977905.08746994 
 01/06  06:00:00,,,183648540.50356585,183648540.50356585 
 01/06  07:00:00,,,220037431.39661878,220037431.39661884 
 01/06  08:00:00,,,240172077.60202673,240172077.60202685 
 01/06  09:00:00,,,250756653.65990892,250756653.65990907 
 01/06  10:00:00,,,283226330.86204684,283226330.86204684 
 01/06  11:00:00,,,297879796.87200934,297879796.87200946 
 01/06  12:00:00,,,287883467.4832966,287883467.48329663 
 01/06  13:00:00,,,283323598.62498826,283323598.6249883 
 01/06  14:00:00,,,280253135.8604444,280253135.86044455 
 01/06  15:00:00,,,260943031.67188475,260943031.67188483 
 01/06  16:00:00,,,277237807.5328313,277237807.5328315 
 01/06  17:00:00,,,296995242.288706,296995242.28870606 
 01/06  18:00:00,,,339755207.60231274,339755207.60231274 
 01/06  19:00:00,,,295141741.7864436,295141741.78644365 
 01/06  20:00:00,,,301416778.73803854,301416778.73803866 
 01/06  21:00:00,,,301438093.0824515,301438093.08245164 
 01/06  22:00:00,,,254054831.82215053,254054831.82215062 
 01/06  23:00:00,,,250329268.0929748,250329268.0929749 
 01/06  24:00:00,,,204640406.49909556,204640406.49909544 
 01/07  01:00:00,,,178472643.57511365,178472643.5751136 
 01/07  02:00:00,,,152015618.47225484,152015618.47225478 
 01/07  03:00:00,,,147666065.76601428,147666065.76601422 
 01/07  04:00:00,,,143818421.3785067,143818421.37850666 
 01/07  05:00:00,,,139270075.2092332,139270075.20923316 
 01/07  06:00:00,,,182569442.18085557,182569442.18085554 
