Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,396796370.55162746,3796894080.314077,0.0,20091615357.778553,0.0,0.0,23820846612.43408,63842608484.14773 
February,136980248.97847655,3690835839.1786895,0.0,18096856944.689064,0.0,0.0,21812566291.52599,56602316178.53893 
March,117417255.04473446,3858967406.616294,0.0,19803265311.217728,0.0,0.0,24806477492.433544,62274593458.75555 
April,11019172.855965976,5296742860.14467,0.0,19528298364.539463,0.0,0.0,27323680459.438572,58426651403.03506 
May,3229571.948824002,6131866513.697777,0.0,20256214032.584667,0.0,0.0,33672355699.700993,59298855824.710464 
June,10141867.638944753,7599342615.187584,0.0,20180516084.724194,0.0,0.0,35445011061.85877,56448383167.26443 
July,3138981.1281173285,8853382573.645575,0.0,21003716571.85827,0.0,0.0,40105351056.29903,57538129959.04434 
August,2388585.233138454,9330144152.057402,0.0,21599743726.418892,0.0,0.0,39906495671.69607,57308799640.38257 
September,4151829.82895893,8517889838.55266,0.0,21015833150.134953,0.0,0.0,37629341368.17603,55678076836.09776 
October,3645131.3613765207,7728592895.118029,0.0,21836985908.077965,0.0,0.0,34217451025.275616,58263383017.003395 
November,6120034.1774110645,5956489220.659163,0.0,20684914556.19455,0.0,0.0,27378408180.633503,57402385029.76749 
December,13384816.965164615,4150398584.0498753,0.0,20539776571.476307,0.0,0.0,23424461953.410164,60812341301.244034 
