Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17048976411.69933,12069891.730414947,4789158.367477684,22454151618.284046,0.0,0.0,25399133203.001076,173076855798.39 
February,16828561828.09425,7009042.640257705,4545765.068888757,19957329893.20121,0.0,0.0,22860505547.150196,169975059739.74738 
March,11416615444.237007,219169053.94415742,2741389.7763424823,22777737887.720135,0.0,0.0,24699131256.70759,136763589771.10913 
April,6170359535.786513,434710011.9591578,475306.5735102572,22812239074.703056,0.0,0.0,23683674867.05207,98649234734.51738 
May,1715370707.5286207,1817391028.6631289,0.0,24310997073.12352,0.0,0.0,26760619101.13288,71826380016.788 
June,140450527.66825023,3504062994.326068,0.0,24721248218.464077,0.0,0.0,31180669202.866814,58844666998.64496 
July,4177336.5575456196,5708828846.023809,0.0,26451899357.727005,0.0,0.0,39025777078.03058,57855861700.01583 
August,7694802.623422901,5021914020.787467,0.0,26477389994.914417,0.0,0.0,35653350274.31675,57810452284.2245 
September,653125746.3977617,3197575680.918112,0.0,25162034664.35949,0.0,0.0,29534734562.14085,61580885843.41075 
October,3402711536.752324,1368803927.9361281,0.0,25422952741.716423,0.0,0.0,26133235431.75552,81735051085.74387 
November,8948381599.369698,173541525.81625766,1057280.394435688,23776852638.05019,0.0,0.0,24294451048.114998,113950053762.95518 
December,15238541028.942268,66512458.922949865,3705568.8075632937,23176208644.176327,0.0,0.0,25391481616.71674,159385446392.42923 
