Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,26917927036.645546,536292046.7434742,15877483.642710935,17356004513.891514,0.0,0.0,21745858114.42044,249460288025.57147 
February,20426367907.843735,363564569.2356094,11499804.064848293,16492344464.709106,0.0,0.0,19064197284.377056,194792794514.18552 
March,17570046606.636826,275735881.61000276,3374884.48781394,19254490640.369083,0.0,0.0,20337414126.866325,173425460401.32742 
April,9171628841.27963,179518430.06780976,1342629.2513269738,19721983861.239662,0.0,0.0,18793137177.76904,117153553403.6457 
May,2801368653.3786573,995320461.9286519,1205305.618060588,21096481048.236755,0.0,0.0,19460578833.760395,76623520382.4497 
June,317038343.0324516,2274721363.820326,0.0,21376109168.961372,0.0,0.0,20234176418.66137,60176835793.33694 
July,163872863.58643076,3855976147.505291,0.0,22851362036.47325,0.0,0.0,24014799955.629944,59316751693.10236 
August,190239138.87125647,3637204253.4865127,0.0,23143554896.719463,0.0,0.0,23606530502.61007,60238503802.816574 
September,2019538070.9211812,1388096903.791449,265207.7936792875,22033981083.412216,0.0,0.0,19870207730.99709,69929393111.4424 
October,7295277788.381576,373247133.3655603,3323155.82670014,22226621632.540173,0.0,0.0,19836537032.457417,101907595247.7521 
November,14820587337.123892,60083045.50643535,3826120.8965561404,20052089039.294495,0.0,0.0,19933747393.05332,146315977012.24588 
December,24379679997.870884,462768183.0154548,6143252.423118028,18689895144.47733,0.0,0.0,21556014314.55159,219729488272.8807 
